Correlations
|-------------------------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|
|                         |V1     |V507   |V7097  |V7106  |V7109  |V7112  |V7113  |V7115  |V7116  |V7118  |V7119  |V7121  |V7124  |V7127  |V7133  |V7139  |V7142  |V7145  |V7152  |V7155  |V7158  |V7161  |V7164  |V7202  |V7206  |V7215  |V7221  |V7302  |V7426  |V7501  |V7507  |V7551  |V7552  |V7555  |V7601  |V8451  |V8480  |V8502  |V8505  |V8509  |V8512  |V8514  |V8517  |V8526  |V8527  |V8528  |V8529  |V8530  |V8531  |V8536  |V8565  |
|-----|-------------------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|
|V1   |Pearson Correlation|1      |.004   |-.366**|-.058**|-.039**|-.051**|-.048**|-.037**|-.037**|-.044**|-.041**|-.046**|-.049**|-.042**|-.047**|-.259**|-.307**|-.051**|-.369**|-.367**|-.051**|-.005* |.252** |-.040**|-.033**|-.037**|-.032**|-.039**|-.017**|.000   |-.004  |.010** |-.290**|-.010**|-.008**|-.014**|-.014**|.001   |-.014**|.000   |-.014**|-.013**|-.001  |-.002  |-.001  |.000   |-.002  |-.004  |.003   |.004   |.000   |
|     |-------------------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|
|     |Sig. (2-tailed)    |       |.106   |.000   |.000   |.000   |.000   |.000   |.000   |.000   |.000   |.000   |.000   |.000   |.000   |.000   |.000   |.000   |.000   |.000   |.000   |.000   |.025   |.000   |.000   |.000   |.000   |.000   |.000   |.000   |.981   |.070   |.000   |.000   |.000   |.000   |.000   |.000   |.671   |.000   |.987   |.000   |.000   |.558   |.516   |.652   |.935   |.385   |.107   |.254   |.117   |.927   |
|     |-------------------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|
|     |N                  |182338 |182338 |182338 |182338 |182338 |182338 |182338 |182338 |182338 |182338 |182338 |182338 |182338 |182338 |182338 |182338 |182338 |182338 |182338 |182338 |182338 |182338 |182338 |182338 |182338 |182338 |182338 |182338 |182338 |182338 |182338 |182338 |182338 |182338 |182338 |182338 |182338 |182338 |182338 |182338 |182338 |182338 |182338 |182338 |182338 |182338 |182338 |182338 |182338 |182338 |182338 |
|-----|-------------------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|
|V507 |Pearson Correlation|.004   |1      |.003   |-.017**|-.023**|.018** |.004   |.002   |.001   |.002   |.000   |.000   |.006** |.005   |.003   |.000   |.002   |.003   |-.004  |-.003  |.004   |-.001  |.006** |-.001  |-.012**|-.024**|-.045**|-.010**|.005*  |.006*  |.005*  |-.001  |-.005* |-.002  |.000   |-.001  |-.001  |.013** |.005*  |.011** |.002   |.003   |.006*  |.004   |.002   |.003   |.004   |.006*  |.003   |.004   |.008** |
|     |-------------------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|
|     |Sig. (2-tailed)    |.106   |       |.266   |.000   |.000   |.000   |.107   |.459   |.774   |.334   |.929   |.838   |.008   |.051   |.183   |.887   |.353   |.175   |.118   |.187   |.126   |.807   |.006   |.638   |.000   |.000   |.000   |.000   |.029   |.015   |.046   |.731   |.031   |.372   |.957   |.811   |.729   |.000   |.037   |.000   |.462   |.262   |.013   |.110   |.450   |.198   |.057   |.018   |.153   |.060   |.000   |
|     |-------------------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|
|     |N                  |182338 |182338 |182338 |182338 |182338 |182338 |182338 |182338 |182338 |182338 |182338 |182338 |182338 |182338 |182338 |182338 |182338 |182338 |182338 |182338 |182338 |182338 |182338 |182338 |182338 |182338 |182338 |182338 |182338 |182338 |182338 |182338 |182338 |182338 |182338 |182338 |182338 |182338 |182338 |182338 |182338 |182338 |182338 |182338 |182338 |182338 |182338 |182338 |182338 |182338 |182338 |
|-----|-------------------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|
|V7097|Pearson Correlation|-.366**|.003   |1      |.199** |.176** |.267** |.272** |.345** |.347** |.367** |.367** |.392** |.390** |.404** |.421** |.419** |-.037**|.297** |.933** |.928** |.291** |.159** |-.083**|.148** |.129** |.152** |.132** |.057** |.318** |.140** |.139** |.213** |-.138**|.215** |.252** |-.311**|-.311**|-.223**|-.215**|-.218**|-.211**|-.212**|-.352**|-.355**|-.353**|-.352**|-.352**|-.350**|-.354**|-.355**|-.348**|
|     |-------------------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|-------|
