"","V507 0","V7101 1","V7104 1","V7112 1","V7115 1","V7118 1","V7127 1","V7097 1","V7133 1","V7139 1","V7142 1","V8451 1","V7426 1","V7121 1","V7124 1","V7164 1","V7145 1","V7109 1","V7152 1","V7155 1","V7158 1","V7161 1","V7601 1","V8480 1","V7221 2","V7552 4","V7551 2","V8512 3","V8502 3","V8505 3","V8509 3","V8514 3","V8536 3","V7501 3","V7507 3","V8565 3","V7202 0","V7215 2","V7206 0","V8517 1","V8526 3","V8527 3","V8528 3","V8529 3","V8530 3","V8531 3","V7112D NA"
"V507",1,0.0125257862664883,0.00180309065300868,0.0342319395637879,0.0109743088881148,0.0178257496573433,0.0153707343396398,0.0121971420384007,0.0167456296523959,0.00447006744950751,0.0112330393683888,0.00237662842348786,0.00631802839750691,0.00848524518797202,0.0214519119630477,0.0122713171065936,0.00498273092368949,-0.0122572553794883,-0.00165793579227762,-0.0012838533121432,0.00864796505498642,-0.000132194719788381,0.00171533489054827,-0.00104442744623319,-0.0448199912665959,-0.00505248075000697,-0.000804072781759227,0.00172227056576851,0.0129970012546526,0.00487514604073725,0.0113187563751134,0.0026292513652597,0.00441228786623953,0.00568614325865665,0.00466414098022686,0.008243248490227,-0.00110071948110864,-0.024318085618739,-0.0119199056248034,0.0071407613447192,0.00374508234082529,0.00177085378957487,0.00301169021542985,0.00446152955391002,0.00554430071288105,0.00334371080799105,0.0342319395637879
"V7101",0.0125257862664883,1,0.401631373941381,0.470810374016649,0.269014651183198,0.299226111595542,0.314825700308416,0.189008140784502,0.288940577118036,0.103365870580958,0.140306770743098,0.0933727801040034,0.100611079031269,0.25334124202346,0.282209592558632,0.0655047770868648,0.15336752132327,0.330357298441633,0.131222165593927,0.130448452358757,0.160957931665603,0.0130338792066907,0.0328203200248418,0.0895840033273036,-0.0357355673275209,0.0501303195925807,0.0216478813059361,0.00692791886432317,0.031434038811055,0.00550835068136513,0.0303088956562583,0.00759382228064691,0.0183648217029916,0.00306134489332417,0.000234644433849397,0.0194421696512144,0.0750715982484524,0.0401509123684729,0.0279274563773855,0.0403383576464042,0.0017697736737767,0.00744971124353549,0.00714249932781996,0.00788180119151607,0.00375022394271664,0.0187312738845247,0.470810374016649
"V7104",0.00180309065300868,0.401631373941381,1,0.445582839071654,0.258514392056182,0.271972321446368,0.296394746061431,0.188513174537069,0.275125108746052,0.106742368514673,0.140190744295598,0.193025085938566,0.0829598993254428,0.245337038465366,0.261246409081079,0.0614970751233362,0.161389915570056,0.640721709470236,0.135854854923587,0.134200483972923,0.16352680407678,0.0132346267128434,0.0198869745935741,0.185190597071559,0.0254522076202495,0.0622002337856379,0.0261613410743886,0.0247392254509695,0.0429319556931499,0.0224130509322306,0.0411922596883558,0.0251598405773049,0.0224680408681877,0.0214193870372773,0.0199667736893049,0.0285878871985825,0.102307987344354,0.0645819312955803,0.0763545435320295,0.0413824001559996,0.0100741824481151,0.0168657048225408,0.0164273547813284,0.0200644130572576,0.0108917510630999,0.0299539891902956,0.445582839071654
"V7112",0.0342319395637879,0.470810374016649,0.445582839071654,1,0.399939491225758,0.406074957517542,0.377507348195505,0.213420489076148,0.356440378967449,0.12181970359255,0.138353638186781,0.10364348562278,0.0885644041473469,0.345415413381452,0.362944019303579,0.105667439313896,0.217733919594685,0.41127712921972,0.160207839223797,0.158297719100759,0.227403482745508,0.0242102045715154,0.0341550041868457,0.105562611748455,-0.00791388361790439,0.0434811240502311,0.0239716622340335,0.0207750812387315,0.0428702478599211,0.0191887492579894,0.0415394619428913,0.0214429733595462,0.0155911803558458,0.0144497280690649,0.0124680832750771,0.0223388526181056,0.109148572015822,0.0734465229469268,0.0654154135552382,0.0418268929150208,0.00286848843276549,0.00843459776748455,0.00876448500511572,0.0119754694669334,0.00446053909670694,0.0196815441257009,1
"V7115",0.0109743088881148,0.269014651183198,0.258514392056182,0.399939491225758,1,0.698382668186913,0.456367323333488,0.275157605318426,0.498372692633369,0.147122268396091,0.150223601722856,0.0465535877314381,0.0767081702076687,0.608786814650814,0.59793934476459,0.169447263708696,0.37800432030852,0.271495385298584,0.277295783561325,0.273573899071305,0.40599115015905,0.0473765813275787,0.0598194443816281,0.0477096285164382,0.158842419750551,0.0317809556610779,0.0363087853280064,0.0497202116441469,0.0555691463012309,0.0492227813799193,0.0565925200669541,0.0491290119403857,0.0272535591922507,0.0267815976116434,0.025260621252317,0.032128881802923,0.203535339513766,0.197698001447552,0.166103790136499,0.0312302743485938,0.0218312407841238,0.0244781109045229,0.0243159895453217,0.0230176080696834,0.0209460628419228,0.027222152829741,0.399939491225758
"V7118",0.0178257496573433,0.299226111595542,0.271972321446368,0.406074957517542,0.698382668186913,1,0.48922716460023,0.308160310067632,0.515396080046422,0.156573042897816,0.160852206233897,0.0483937132289756,0.0937280976321463,0.598556608510602,0.602433792163678,0.169719838466646,0.380229054179323,0.275002909764628,0.284373861730492,0.282933698808606,0.408223372253021,0.0448710961081453,0.0736624678657695,0.0502202709478058,0.149230560077712,0.0298347212033914,0.0455381838967026,0.0420132954887259,0.0494533181963326,0.0411868132630369,0.0502348073265055,0.04104345581187,0.0221045853235994,0.0237964310979273,0.0223493045960338,0.0274036212270576,0.198690454461074,0.192594724541751,0.160485904178542,0.0307383472764414,0.0154859542488498,0.0187015604371048,0.018578669832503,0.0176730760494078,0.0154711263700653,0.0219976888849602,0.406074957517542
"V7127",0.0153707343396398,0.314825700308416,0.296394746061431,0.377507348195505,0.456367323333488,0.48922716460023,1,0.335160106840074,0.547916226732451,0.15921971996216,0.166219794488239,0.0800291525404311,0.084014059016054,0.481734052196661,0.492026753193974,0.15943758930371,0.360149262544601,0.271719859478925,0.231605726200652,0.229189095915647,0.367170217692262,0.0280868035049114,0.0566645813334646,0.0812780593651922,0.108685790424991,0.0243020516980051,0.0365225990944473,0.042217459698919,0.0604206457008949,0.0402538515529276,0.060085858573983,0.0419621096471928,0.0375829605988656,0.019986585838166,0.0178330520320041,0.0442639775588594,0.177750146885315,0.158073963514082,0.133718612114167,0.0527539368756842,0.0245282658788027,0.0296669044538594,0.0284372733988771,0.0296117213975281,0.0250397196434897,0.0380050386503205,0.377507348195505
"V7097",0.0121971420384007,0.189008140784502,0.188513174537069,0.213420489076148,0.275157605318426,0.308160310067632,0.335160106840074,1,0.347678207894302,0.378645307863537,0.00497446159565992,-0.243517298551561,0.278149426167054,0.307900771021546,0.309259875610721,-0.0589106317011211,0.234961305554818,0.169922474311186,0.81015307502848,0.807788068003005,0.240100662701797,0.135554920462507,0.222099630472624,-0.238081515523068,0.0904398937393175,-0.119310917992674,0.19041909928528,-0.188408942634046,-0.190541115445107,-0.19289625466843,-0.186812780789228,-0.189068199486902,-0.307047809336409,0.120935292552907,0.118580107227562,-0.301463877647637,0.123406075969325,0.118233622942848,0.0977462971350225,-0.285667222607831,-0.31082575877693,-0.307471689185439,-0.306742192650323,-0.306285072476033,-0.306730541145833,-0.305068954497498,0.213420489076148
"V7133",0.0167456296523959,0.288940577118036,0.275125108746052,0.356440378967449,0.498372692633369,0.515396080046422,0.547916226732451,0.347678207894302,1,0.169510690886365,0.171970632403655,0.0681403311075304,0.0886412780966264,0.53123341761822,0.541293243999273,0.171276573796254,0.420066994556042,0.260219369695927,0.28455467792461,0.281648438795567,0.428393993099703,0.0331244246453565,0.0690255110654858,0.0699373138305023,0.151835405837731,0.0302001336838216,0.0477770947662046,0.0502689315040087,0.0616670960398789,0.0488005900932976,0.0625693266897226,0.0493814464426161,0.0363055844052812,0.0234778587806524,0.0224327690901655,0.0454031825012667,0.214914799066475,0.197290873074614,0.169539330719021,0.0456858630525619,0.0281828828947863,0.0323569700448719,0.0318185456519451,0.0309517292944963,0.0285067460846384,0.0378068155446284,0.356440378967449
"V7139",0.00447006744950751,0.103365870580958,0.106742368514673,0.12181970359255,0.147122268396091,0.156573042897816,0.15921971996216,0.378645307863537,0.169510690886365,1,0.515965370211881,0.154347265700066,-0.351553974462139,0.165238313296808,0.171716731646132,0.0107488764549251,0.123810886193437,0.103344863589561,0.411405972550612,0.409376227166848,0.130421203028314,0.383149882276894,-0.698737773316495,0.157535008977647,0.0448542558410642,0.53297760558638,-0.622612787030187,0.374665255284569,0.374790144930621,0.376571079769003,0.370434615044865,0.374330347192045,0.128423728627988,0.350712092906359,0.346666980563982,0.134353558364332,0.0579177709444492,0.0688130354030739,0.0553772658432113,0.135911604157568,0.130468983948613,0.131940876364189,0.129722858093192,0.132188056109424,0.132072606037024,0.130222308821802,0.12181970359255
