"","V7118","V8502","V8512","V8509","V8530","V7215"
"1",1,1,1,1,0,1
"2",0,0,1,0,0,0
"3",0,0,0,0,0,0
"4",1,1,0,1,0,1
"5",0,0,0,0,0,0
"6",0,0,0,0,1,0
"7",0,0,0,0,0,0
"8",0,0,0,0,0,1
"9",0,0,0,0,0,0
"10",1,1,0,1,0,0
"11",1,0,1,0,0,0
"12",1,0,0,0,0,0
"13",1,0,0,0,0,1
"14",1,1,1,0,0,0
"15",1,0,0,0,0,1
"16",1,0,1,0,1,1
"17",1,0,1,0,1,0
"18",1,1,0,0,0,1
"19",0,0,0,0,0,1
"20",0,0,0,0,0,1
"21",1,0,1,0,0,0
"22",0,0,0,0,0,0
"23",0,0,0,0,1,1
"24",1,0,0,0,0,1
"25",0,0,0,0,0,0
"26",1,0,0,0,0,1
"27",1,0,0,0,0,1
"28",1,1,0,1,1,0
"29",1,1,0,1,1,1
"30",0,0,0,0,0,0
"31",1,0,0,0,0,0
"32",0,0,1,0,0,1
"33",1,0,0,0,0,1
"34",1,0,0,0,0,1
"35",1,0,0,0,0,1
"36",1,0,0,0,0,0
"37",1,0,0,0,0,0
"38",0,0,0,0,1,0
"39",1,0,0,0,0,0
"40",1,0,0,0,0,0
"41",0,0,0,0,0,0
"42",1,1,0,0,0,1
"43",0,0,1,0,1,0
"44",0,0,0,0,0,1
"45",1,0,1,0,1,1
"46",0,0,0,0,0,0
"47",1,0,0,0,0,1
"48",1,0,0,0,0,0
"49",0,0,0,0,0,1
"50",1,1,1,1,1,1
"51",0,0,0,0,0,1
"52",0,0,0,0,0,0
"53",1,0,0,0,0,1
"54",1,0,0,0,0,0
"55",1,0,0,0,0,0
"56",1,0,0,0,0,0
"57",0,0,0,0,0,0
"58",1,1,1,1,0,0
"59",1,1,0,1,0,0
"60",0,0,0,0,1,0
"61",1,0,0,0,0,0
"62",1,0,0,0,0,1
"63",0,0,0,0,0,1
"64",0,0,0,0,0,0
"65",1,0,0,0,0,1
"66",0,0,0,0,0,1
"67",0,0,0,0,0,1
"68",1,0,0,0,0,1
"69",0,0,0,0,0,0
"70",1,0,0,0,0,1
"71",0,1,0,1,0,0
"72",0,0,0,0,0,0
"73",1,0,0,0,0,1
"74",1,0,0,0,0,1
"75",1,0,1,1,0,1
"76",1,0,0,0,0,1
"77",1,0,0,0,0,0
"78",1,0,0,0,0,1
"79",1,0,1,0,1,0
"80",1,0,0,0,0,0
"81",0,0,0,0,0,0
"82",0,0,0,0,0,1
"83",1,1,1,0,1,1
"84",1,0,0,0,0,0
"85",1,0,1,0,1,1
"86",1,0,0,0,0,1
"87",0,0,0,0,0,0
"88",0,0,0,0,0,0
"89",1,0,0,0,0,1
"90",1,0,0,0,0,0
"91",0,0,0,0,0,1
"92",0,0,0,0,0,0
"93",0,0,0,0,0,0
