"","V8530","V8502","V7206","V8509","freq","pred","classPurity"
"1",0,0,0,0,0.0546,0.0341,0.0394
"2",0,0,0,1,0.0056,0.0498,0.0365
"3",0,0,1,0,0.1592,0.0255,0.0235
"4",0,0,1,1,0.0154,0.0375,0.0382
"5",0,1,0,0,0.013,0.0614,0.0561
"6",0,1,0,1,0.0188,0.0886,0.0808
"7",0,1,1,0,0.0337,0.0464,0.0578
"8",0,1,1,1,0.0469,0.0674,0.0657
"9",1,0,0,0,0.0964,0.0198,0.0225
"10",1,0,0,1,0.0067,0.0292,0.036
"11",1,0,1,0,0.4262,0.0148,0.0142
"12",1,0,1,1,0.0213,0.0218,0.0247
"13",1,1,0,0,0.0144,0.0362,0.0212
"14",1,1,0,1,0.0135,0.0529,0.0465
"15",1,1,1,0,0.0393,0.0272,0.0258
"16",1,1,1,1,0.0351,0.0398,0.0474
