"","V8530","V8502","V7206","V8509","freq","pred","classPurity"
"1",0,0,0,0,0.0708,0.584,0.6491
"2",0,0,0,1,0.005,0.6358,0.5
"3",0,0,1,0,0.1689,0.516,0.4853
"4",0,0,1,1,0.0161,0.57,0.6923
"5",0,1,0,0,0.0186,0.7278,0.6667
"6",0,1,0,1,0.0385,0.7688,0.7097
"7",0,1,1,0,0.0596,0.67,0.7292
"8",0,1,1,1,0.0671,0.7163,0.7037
"9",1,0,0,0,0.0745,0.3912,0.4
"10",1,0,0,1,0.0075,0.4442,0.5
"11",1,0,1,0,0.3292,0.3279,0.317
"12",1,0,1,1,0.0248,0.3777,0.45
"13",1,1,0,0,0.005,0.5503,1
"14",1,1,0,1,0.0311,0.6035,0.48
"15",1,1,1,0,0.041,0.4817,0.4545
"16",1,1,1,1,0.0422,0.5361,0.6176
