"","V8502","V8509","V8530","V8526","V8512","V7202","freq","pred"
"1",0,0,0,0,0,0,0.0175,0.0529
"2",0,0,0,0,0,1,0.0252,0.0308
"3",0,0,0,0,1,0,0.0326,0.0388
"4",0,0,0,0,1,1,0.0449,0.0225
"5",0,0,0,1,0,0,0.0092,0.0332
"6",0,0,0,1,0,1,0.0132,0.0192
"7",0,0,0,1,1,0,0.0338,0.0242
"8",0,0,0,1,1,1,0.0367,0.0139
"9",0,0,1,0,0,0,0.0123,0.0344
"10",0,0,1,0,0,1,0.0179,0.0199
"11",0,0,1,0,1,0,0.0539,0.0251
"12",0,0,1,0,1,1,0.0624,0.0144
"13",0,0,1,1,0,0,0.0309,0.0214
"14",0,0,1,1,0,1,0.0218,0.0123
"15",0,0,1,1,1,0,0.1864,0.0155
"16",0,0,1,1,1,1,0.1387,0.0089
"17",0,1,0,0,0,0,0.0029,0.07
"18",0,1,0,0,0,1,0.0043,0.0411
"19",0,1,0,0,1,0,0.0024,0.0515
"20",0,1,0,0,1,1,0.0027,0.03
"21",0,1,0,1,0,0,0.0018,0.0442
"22",0,1,0,1,0,1,0.0026,0.0256
"23",0,1,0,1,1,0,0.0022,0.0323
"24",0,1,0,1,1,1,0.002,0.0186
"25",0,1,1,0,0,0,0.0021,0.0458
"26",0,1,1,0,0,1,0.0028,0.0266
"27",0,1,1,0,1,0,0.0025,0.0335
"28",0,1,1,0,1,1,0.0032,0.0193
"29",0,1,1,1,0,0,0.0033,0.0286
"30",0,1,1,1,0,1,0.0028,0.0165
"31",0,1,1,1,1,0,0.0063,0.0208
"32",0,1,1,1,1,1,0.0047,0.012
"33",1,0,0,0,0,0,0.0044,0.0911
"34",1,0,0,0,0,1,0.0148,0.054
"35",1,0,0,0,1,0,0.0036,0.0674
"36",1,0,0,0,1,1,0.0077,0.0396
"37",1,0,0,1,0,0,0.0035,0.058
"38",1,0,0,1,0,1,0.0054,0.0339
"39",1,0,0,1,1,0,0.0035,0.0425
"40",1,0,0,1,1,1,0.0036,0.0247
"41",1,0,1,0,0,0,0.0029,0.0601
"42",1,0,1,0,0,1,0.0068,0.0351
"43",1,0,1,0,1,0,0.0041,0.0441
"44",1,0,1,0,1,1,0.0071,0.0256
"45",1,0,1,1,0,0,0.0064,0.0378
"46",1,0,1,1,0,1,0.0066,0.0219
"47",1,0,1,1,1,0,0.011,0.0275
"48",1,0,1,1,1,1,0.0085,0.0159
"49",1,1,0,0,0,0,0.0095,0.1189
"50",1,1,0,0,0,1,0.0273,0.0714
"51",1,1,0,0,1,0,0.0044,0.0887
"52",1,1,0,0,1,1,0.0058,0.0526
"53",1,1,0,1,0,0,0.0053,0.0765
"54",1,1,0,1,0,1,0.0089,0.0451
"55",1,1,0,1,1,0,0.0022,0.0564
"56",1,1,0,1,1,1,0.0021,0.0329
"57",1,1,1,0,0,0,0.0043,0.0792
"58",1,1,1,0,0,1,0.0092,0.0467
"59",1,1,1,0,1,0,0.0033,0.0585
"60",1,1,1,0,1,1,0.0045,0.0342
"61",1,1,1,1,0,0,0.0059,0.0502
"62",1,1,1,1,0,1,0.008,0.0292
"63",1,1,1,1,1,0,0.0086,0.0367
"64",1,1,1,1,1,1,0.0047,0.0213
