"","V8502","V8509","V8530","V8526","V8512","V7202","freq","pred","classPurity"
"1",0,0,0,0,0,0,0.0278,0.7106,0.4872
"2",0,0,0,0,0,1,0.0238,0.5721,0.4444
"3",0,0,0,0,1,0,0.0517,0.5471,0.5641
"4",0,0,0,0,1,1,0.0371,0.3968,0.3929
"5",0,0,0,1,0,0,0.0159,0.6436,0.9167
"6",0,0,0,1,0,1,0.0119,0.4958,0.4444
"7",0,0,0,1,1,0,0.0397,0.4704,0.3333
"8",0,0,0,1,1,1,0.0291,0.326,0.3636
"9",0,0,1,0,0,0,0.0053,0.5826,0.25
"10",0,0,1,0,0,1,0.0106,0.4319,0.625
"11",0,0,1,0,1,0,0.0503,0.4071,0.5263
"12",0,0,1,0,1,1,0.0556,0.2722,0.2381
"13",0,0,1,1,0,0,0.0318,0.5065,0.5
"14",0,0,1,1,0,1,0.0318,0.3585,0.4167
"15",0,0,1,1,1,0,0.1351,0.3355,0.3627
"16",0,0,1,1,1,1,0.0914,0.2157,0.1739
"17",0,1,0,0,0,0,0.0013,0.8016,1
"18",0,1,0,0,0,1,0.004,0.6875,0.6667
"19",0,1,0,0,1,0,0.004,0.6653,0.3333
"20",0,1,0,0,1,1,0.0013,0.5198,0
"21",0,1,0,1,0,1,0.0026,0.618,0
"22",0,1,0,1,1,0,0.0066,0.5938,1
"23",0,1,0,1,1,1,0.004,0.4432,0.6667
"24",0,1,1,0,0,0,0.0053,0.6967,0.75
"25",0,1,1,0,0,1,0.0013,0.5557,0
"26",0,1,1,0,1,0,0.0079,0.5306,0.6667
"27",0,1,1,0,1,1,0.0013,0.381,0
"28",0,1,1,1,1,0,0.0093,0.4539,0.5714
"29",0,1,1,1,1,1,0.0013,0.3115,1
"30",1,0,0,0,0,0,0.0132,0.8132,0.9
"31",1,0,0,0,0,1,0.0119,0.7033,0.6667
"32",1,0,0,0,1,0,0.0053,0.6817,0.5
"33",1,0,0,0,1,1,0.0106,0.5384,0.875
"34",1,0,0,1,0,0,0.0013,0.762,1
"35",1,0,0,1,0,1,0.0079,0.6354,0.8333
"36",1,0,0,1,1,0,0.0053,0.6116,0.75
"37",1,0,0,1,1,1,0.004,0.4616,1
"38",1,0,1,0,0,0,0.0053,0.7122,0.75
"39",1,0,1,0,0,1,0.0053,0.5741,0.5
"40",1,0,1,0,1,0,0.0053,0.5491,0.25
"41",1,0,1,0,1,1,0.004,0.3987,0.6667
"42",1,0,1,1,0,0,0.0053,0.6454,0.5
"43",1,0,1,1,0,1,0.004,0.4977,0.3333
"44",1,0,1,1,1,0,0.0172,0.4724,0.3077
"45",1,0,1,1,1,1,0.0026,0.3277,0
"46",1,1,0,0,0,0,0.0358,0.8775,0.9259
"47",1,1,0,0,0,1,0.0636,0.796,0.8125
"48",1,1,0,0,1,0,0.0026,0.779,0.5
"49",1,1,0,0,1,1,0.0066,0.6574,0.6
"50",1,1,0,1,0,0,0.0053,0.8405,0.75
"51",1,1,0,1,0,1,0.0093,0.7415,0.7143
"52",1,1,0,1,1,0,0.004,0.7216,0.3333
"53",1,1,0,1,1,1,0.0013,0.5853,1
"54",1,1,1,0,0,0,0.004,0.8029,0.3333
"55",1,1,1,0,0,1,0.0159,0.6892,0.9167
"56",1,1,1,0,1,0,0.0026,0.6671,0.5
"57",1,1,1,0,1,1,0.004,0.5218,0.3333
"58",1,1,1,1,0,0,0.0132,0.7497,0.9
"59",1,1,1,1,0,1,0.0079,0.6199,0.3333
"60",1,1,1,1,1,0,0.0132,0.5957,0.5
"61",1,1,1,1,1,1,0.0026,0.4451,0
