"","V7221","V8502","V8512","V8565"
"1",0,0,0,0
"2",0,0,0,0
"3",1,0,0,0
"4",0,0,0,0
"5",0,0,1,0
"6",1,0,1,0
"7",1,0,0,0
"8",1,0,0,0
"9",0,0,0,0
"10",0,1,0,1
"11",0,0,0,0
"12",0,0,1,1
"13",0,1,0,1
"14",0,0,0,0
"15",0,0,0,0
"16",1,0,1,1
"17",0,0,0,0
"18",0,0,0,0
"19",1,0,0,0
"20",0,0,1,0
"21",1,1,1,0
"22",0,0,1,0
"23",0,0,0,0
"24",1,1,1,1
"25",1,0,0,0
"26",1,0,0,0
"27",1,0,0,0
"28",0,0,1,0
"29",1,0,0,0
"30",1,0,0,0
"31",1,0,0,0
"32",1,0,1,0
"33",1,0,0,0
"34",1,0,1,0
"35",1,1,0,1
"36",0,0,0,0
"37",0,0,1,1
"38",0,0,0,0
"39",1,0,1,0
"40",0,0,0,0
"41",1,0,0,0
"42",1,0,0,0
"43",1,0,0,0
"44",0,0,0,1
"45",1,0,0,0
"46",0,0,1,0
"47",1,1,1,0
"48",1,0,1,0
"49",1,1,0,1
"50",1,0,0,1
"51",0,0,0,0
"52",0,1,1,1
"53",1,0,1,1
"54",0,0,0,0
"55",0,0,0,0
"56",1,0,0,0
"57",0,0,0,0
"58",1,0,0,0
"59",1,0,0,0
"60",1,0,1,0
"61",0,0,0,0
"62",1,0,0,0
"63",0,0,1,0
"64",1,1,0,1
"65",1,0,1,0
"66",1,0,0,0
"67",1,0,1,1
"68",1,0,0,0
"69",1,0,0,0
"70",0,0,0,0
"71",1,0,0,0
"72",1,0,0,0
"73",1,0,1,0
"74",1,1,0,1
"75",1,0,1,0
"76",1,0,0,0
"77",1,0,0,0
"78",0,1,1,1
"79",0,0,0,0
"80",0,0,0,1
"81",1,0,1,0
"82",0,0,1,1
"83",1,0,0,0
"84",0,0,0,0
"85",1,0,1,1
"86",1,0,0,0
"87",0,0,1,1
"88",1,0,1,1
"89",1,0,1,0
"90",1,0,0,0
"91",0,1,1,0
"92",0,0,0,0
"93",1,0,0,0
"94",1,0,0,0
"95",0,0,1,0
