"","V7221","V7563","V8514"
"1",0,0,0
"2",0,0,0
"3",0,0,0
"4",0,0,0
"5",0,0,1
"6",1,0,1
"7",1,0,0
"8",0,1,0
"9",0,1,0
"10",0,0,0
"11",0,0,0
"12",0,0,1
"13",0,0,0
"14",0,1,0
"15",0,1,0
"16",1,0,1
"17",0,1,0
"18",0,1,0
"19",0,0,0
"20",0,0,1
"21",1,0,1
"22",0,0,1
"23",0,0,1
"24",0,0,0
"25",1,0,0
"26",1,1,0
"27",1,0,0
"28",0,0,1
"29",1,0,1
"30",1,0,0
"31",1,1,0
"32",0,0,1
"33",0,1,0
"34",1,0,1
"35",1,0,1
"36",0,0,0
"37",0,0,1
"38",0,0,0
"39",1,0,1
"40",0,1,0
"41",1,1,0
"42",1,0,0
"43",1,0,0
"44",0,0,1
"45",1,0,0
"46",0,0,1
"47",0,0,1
"48",1,0,1
"49",1,0,1
"50",0,0,0
"51",0,0,0
"52",0,0,1
"53",0,0,1
"54",0,0,0
"55",0,0,0
"56",0,0,0
"57",0,1,0
"58",0,0,0
"59",1,0,1
"60",1,0,1
"61",0,1,0
"62",1,0,0
"63",0,0,1
"64",1,0,0
"65",1,0,1
"66",0,0,0
"67",1,0,1
"68",1,0,0
"69",1,1,0
"70",0,0,0
"71",0,1,0
"72",0,0,0
"73",1,0,1
"74",1,0,0
"75",1,0,1
"76",0,0,0
"77",1,0,0
"78",0,0,1
"79",0,1,0
"80",0,0,1
"81",1,0,1
"82",0,0,1
"83",0,0,0
"84",0,0,0
"85",0,0,1
"86",0,0,0
"87",0,0,1
"88",0,0,1
"89",0,0,1
"90",0,1,0
"91",0,0,1
"92",0,0,0
"93",1,1,0
"94",1,0,0
"95",0,0,1
"96",0,1,0
"97",0,0,1
"98",0,0,1
"99",0,0,1
"100",0,0,1
"101",1,1,0
"102",0,0,0
"103",0,0,0
"104",1,0,1
"105",0,0,1
"106",0,0,1
"107",1,0,0
"108",1,1,0
"109",0,0,1
"110",0,0,0
"111",1,0,1
"112",0,0,1
"113",0,0,1
"114",0,0,1
"115",0,1,0
"116",1,0,1
"117",1,0,0
"118",0,0,1
