"","V7221","V7101","V7202","V7206","V8512","V8517","V8526"
"1",0,1,0,1,1,0,0
"2",0,0,0,0,0,0,0
"3",0,0,1,1,1,0,0
"4",0,0,1,1,0,0,1
"5",1,0,1,1,1,0,1
"6",0,0,0,1,1,0,1
"7",0,0,0,1,0,0,1
"8",0,0,1,1,1,0,1
"9",0,0,0,1,1,0,1
"10",1,0,0,1,1,0,1
"11",1,1,0,1,0,0,0
"12",0,0,0,1,0,0,1
"13",1,0,1,1,0,0,0
"14",0,1,1,1,0,0,0
"15",0,0,1,1,1,0,1
"16",0,0,0,1,1,0,0
"17",1,0,0,1,0,0,1
"18",1,0,1,1,1,1,1
"19",1,1,0,1,0,0,1
"20",1,0,0,1,1,0,1
"21",1,1,0,1,1,0,1
"22",1,0,0,1,0,0,1
"23",0,1,0,1,0,0,0
"24",0,0,0,0,1,1,1
"25",0,0,1,1,1,0,1
"26",0,0,0,1,1,0,1
"27",0,1,0,1,1,0,0
"28",0,0,0,1,1,1,1
"29",0,0,0,1,1,1,1
"30",0,0,1,1,1,0,0
"31",1,0,1,1,1,0,1
"32",0,0,0,1,1,0,1
"33",0,0,1,1,1,0,1
"34",1,1,0,1,1,0,1
"35",0,0,1,1,0,0,0
"36",0,0,1,1,1,0,1
"37",1,1,0,0,0,1,0
"38",1,0,1,1,0,0,1
"39",1,0,0,1,0,0,1
"40",0,0,1,1,1,1,1
"41",1,0,0,0,1,0,1
"42",0,0,1,0,0,0,0
"43",1,1,0,0,1,1,1
"44",1,0,0,1,1,0,1
"45",0,1,1,1,0,1,0
"46",0,1,1,0,0,1,0
"47",0,0,1,0,1,0,1
"48",0,0,0,1,1,0,1
"49",0,0,1,1,1,0,1
"50",0,0,0,0,1,0,1
"51",1,0,1,0,0,0,1
"52",0,0,1,1,0,0,0
"53",1,0,0,1,1,0,1
"54",1,0,0,1,1,0,0
"55",0,0,1,1,1,0,1
"56",1,0,1,1,1,0,1
"57",1,0,1,1,0,1,1
"58",1,0,1,0,1,0,1
"59",1,0,0,1,1,0,1
"60",1,0,1,1,1,0,0
"61",1,0,1,1,0,1,1
"62",1,0,1,1,0,1,0
"63",0,0,1,1,0,0,0
"64",0,0,1,1,1,1,0
"65",1,0,1,1,1,0,1
"66",0,0,1,1,1,0,1
"67",1,0,1,1,1,0,0
"68",0,0,1,1,1,0,0
"69",1,0,1,1,1,0,1
"70",1,1,1,1,0,1,0
"71",0,0,1,0,1,0,0
"72",0,0,0,1,1,0,1
"73",0,0,0,1,1,0,1
"74",1,0,1,0,1,0,0
"75",0,0,1,1,1,0,1
"76",1,0,1,1,1,0,1
"77",1,0,1,1,1,0,1
"78",1,0,1,1,1,0,1
"79",0,0,0,1,1,0,0
"80",0,1,0,1,1,0,0
"81",1,1,1,1,1,0,0
"82",0,1,1,0,1,0,0
"83",1,0,0,1,1,0,1
"84",0,0,0,0,1,1,1
"85",1,0,0,1,1,0,1
"86",1,0,1,1,1,0,1
"87",1,0,1,0,1,0,0
"88",0,1,1,0,0,1,0
"89",0,0,1,1,1,0,0
"90",0,0,0,1,1,0,1
"91",1,0,0,1,1,0,0
"92",0,0,0,1,0,0,1
"93",0,0,0,1,0,0,1
"94",0,0,1,0,1,0,0
"95",0,0,1,1,1,0,1
"96",1,0,0,1,0,0,1
"97",0,0,0,1,1,0,0
"98",1,0,1,1,1,0,1
"99",1,0,1,1,1,0,0
"100",1,0,0,1,1,0,1
"101",0,0,0,1,1,0,1
"102",1,0,1,1,1,0,1
"103",0,0,1,1,1,0,0
"104",0,0,0,1,1,0,1
"105",1,0,1,0,1,0,0
"106",0,0,0,1,1,0,0
"107",0,0,0,1,1,1,1
"108",0,1,1,1,1,1,0
"109",1,0,1,1,1,0,0
"110",0,0,0,1,1,0,1
"111",0,0,1,1,1,0,0
"112",1,0,0,1,1,0,1
"113",0,0,0,0,0,0,1
"114",0,1,0,1,1,0,1
"115",1,0,1,0,1,0,1
"116",0,0,0,1,1,0,1
"117",1,1,0,0,0,0,0
"118",0,0,1,0,0,0,1
"119",1,0,1,1,1,0,1
"120",1,0,0,1,0,0,1
"121",0,0,1,1,1,0,1
"122",0,1,0,1,0,1,1
"123",0,1,1,0,1,0,0
"124",0,0,1,1,0,1,1
"125",0,1,0,1,1,0,0
"126",1,0,1,1,1,1,1
"127",1,0,0,1,1,0,1
"128",1,0,1,0,1,0,1
"129",0,0,0,1,1,0,1
"130",0,1,0,1,1,0,0
"131",0,0,0,1,1,0,1
"132",1,0,1,1,1,0,1
"133",0,1,0,0,1,0,0
"134",0,1,1,1,0,0,0
"135",0,0,1,1,0,0,0
"136",0,0,0,1,1,0,0
"137",1,0,1,0,1,0,1
"138",1,0,0,1,1,0,1
"139",1,0,1,1,1,0,1
"140",0,0,0,1,1,0,1
"141",1,1,0,1,0,0,0
"142",0,0,0,1,1,0,0
"143",0,0,1,1,1,0,0
"144",1,0,1,0,1,0,0
"145",1,0,0,1,1,0,0
"146",0,0,1,1,1,0,0
"147",0,0,1,1,1,0,1
"148",1,0,0,1,1,0,1
"149",1,0,1,0,0,0,1
"150",0,0,0,1,0,0,0
"151",1,0,1,0,1,0,0
"152",0,1,0,1,1,1,0
"153",1,0,1,1,0,0,1
"154",0,1,0,0,1,1,1
"155",1,0,1,0,1,0,1
"156",0,0,0,1,1,0,0
"157",0,0,0,1,0,0,1
"158",0,0,0,1,1,0,1
"159",0,0,0,1,1,0,1
"160",0,0,0,0,1,0,1
"161",0,0,1,1,1,1,1
"162",0,0,1,1,0,0,0
"163",0,0,0,1,1,0,1
"164",1,0,1,1,1,0,1
"165",0,0,1,1,1,0,0
"166",0,0,1,1,1,1,1
"167",0,0,1,0,0,0,0
"168",0,1,0,0,0,1,0
"169",1,0,1,1,1,0,1
"170",0,0,0,1,1,1,1
"171",1,1,0,1,1,0,1
"172",0,0,1,1,0,0,1
"173",0,1,1,0,0,1,0
"174",1,0,0,1,0,0,0
"175",0,0,0,1,1,0,0
"176",1,0,0,1,1,0,1
"177",0,0,1,1,1,0,1
"178",0,0,0,1,0,0,0
"179",1,0,1,1,1,0,0
"180",0,0,0,1,1,0,1
"181",0,0,0,1,1,0,1
"182",0,0,0,1,0,1,1
"183",0,0,1,1,1,0,1
"184",0,0,1,1,1,0,0
"185",0,0,1,1,1,0,0
"186",1,0,0,1,1,1,1
"187",1,0,1,1,1,0,1
"188",0,0,1,1,1,0,0
"189",1,0,1,1,1,0,1
"190",1,0,0,1,1,0,1
"191",1,0,0,1,1,0,0
"192",0,0,1,0,0,1,0
"193",1,0,0,1,1,0,1
"194",1,0,1,1,1,0,1
"195",1,0,1,0,1,1,1
"196",1,0,1,0,1,0,1
"197",0,1,0,1,1,1,1
"198",0,1,1,0,0,1,0
"199",0,0,1,0,1,0,1
"200",1,0,0,1,1,0,1
"201",0,0,0,1,1,0,0
"202",1,0,0,0,1,0,1
"203",1,0,0,0,1,0,1
"204",0,1,1,1,0,0,1
"205",0,0,1,1,0,0,0
"206",1,0,1,0,1,0,1
"207",1,0,1,1,1,0,0
"208",0,0,1,1,1,0,1
"209",0,0,1,1,0,0,0
"210",1,1,0,1,0,0,0
"211",1,0,1,0,1,1,0
"212",0,0,1,0,1,0,0
"213",0,1,0,0,1,1,1
"214",0,1,1,1,0,0,1
"215",1,0,1,1,0,0,1
"216",0,0,0,1,1,0,0
"217",0,0,1,1,0,0,1
"218",0,0,0,1,1,1,1
"219",0,0,0,1,1,0,1
"220",1,0,0,1,1,0,1
"221",1,0,0,0,1,0,1
"222",0,1,0,1,1,0,0
"223",0,1,1,0,1,1,1
"224",0,0,0,1,1,0,0
"225",0,1,1,1,0,1,0
"226",0,1,1,0,0,1,0
"227",0,0,1,1,1,0,1
"228",0,0,0,1,1,0,1
"229",0,0,1,1,1,0,1
"230",0,1,1,0,1,1,0
"231",1,0,0,1,1,0,1
"232",1,1,0,0,1,0,1
"233",1,0,1,1,1,0,0
"234",0,1,1,1,0,1,0
"235",0,1,1,0,0,1,1
"236",0,0,0,0,0,0,1
"237",0,1,0,1,0,1,0
"238",1,0,0,1,1,0,1
"239",0,1,1,1,1,1,0
"240",0,0,0,1,0,1,1
"241",0,0,0,1,1,0,1
"242",0,0,1,0,1,0,0
"243",1,0,1,1,1,0,0
"244",0,0,1,0,1,0,1
"245",0,0,0,0,1,0,1
"246",1,0,1,1,1,0,1
"247",0,1,0,1,0,0,1
"248",1,0,1,1,1,0,0
"249",1,0,1,1,1,0,1
"250",1,0,0,1,1,0,1
"251",0,0,1,0,1,0,0
"252",0,0,1,0,0,0,0
"253",0,0,1,0,1,0,0
"254",0,0,0,1,1,0,1
"255",0,1,1,0,1,0,0
"256",0,1,0,0,1,1,1
"257",0,0,1,1,1,0,0
"258",1,0,0,1,1,0,1
"259",1,0,0,1,1,0,1
"260",1,0,0,0,0,0,0
"261",0,1,1,1,1,1,0
"262",0,0,1,1,1,0,1
"263",0,0,1,0,1,0,0
"264",1,0,1,0,0,0,0
"265",0,1,1,1,1,0,0
"266",0,1,1,1,0,0,0
"267",0,0,0,1,1,0,0
"268",0,1,0,1,1,0,1
"269",0,1,1,0,1,0,0
"270",0,1,1,1,0,1,1
"271",0,0,1,0,0,0,0
"272",0,0,0,1,1,0,1
"273",0,1,0,0,1,1,1
"274",0,0,1,0,0,0,0
"275",1,0,1,1,1,0,1
"276",0,0,0,1,0,0,1
"277",0,0,1,1,1,0,1
"278",1,0,1,1,1,0,1
"279",0,0,0,1,0,0,1
"280",1,0,1,0,1,0,1
"281",0,0,0,0,1,0,0
"282",0,0,0,1,1,0,1
"283",0,1,0,1,1,0,0
"284",0,0,0,1,1,0,1
"285",1,0,1,1,1,0,1
"286",1,0,0,1,0,0,0
"287",0,0,0,0,0,0,1
"288",0,0,0,1,1,0,1
"289",1,0,1,1,1,0,1
"290",0,0,0,1,1,0,0
"291",1,0,0,1,1,0,1
"292",0,1,1,0,0,0,0
"293",1,0,1,1,1,0,1
"294",1,0,0,1,1,0,1
"295",0,0,0,1,1,0,1
"296",1,0,0,1,1,1,1
"297",0,0,0,1,0,0,1
"298",1,0,0,1,1,0,0
"299",0,0,0,1,0,0,1
"300",0,0,1,0,1,0,0
"301",0,0,1,0,1,0,0
"302",0,0,1,1,1,1,1
"303",0,0,0,1,1,1,1
"304",0,0,1,0,1,0,0
"305",0,0,0,1,0,0,0
"306",0,1,1,1,1,1,0
"307",1,0,1,1,1,1,1
"308",1,0,1,0,1,0,1
"309",1,0,0,1,1,0,0
"310",0,0,0,1,0,1,1
"311",1,0,1,1,1,0,1
"312",1,1,0,1,0,1,0
"313",1,0,0,1,0,0,1
"314",0,0,1,1,0,0,1
