"","V8526","V7215","V8527","V8512","V7202","freq","pred","classPurity"
"1",0,0,0,0,0,0.0177,0.2255,0.2739
"2",0,0,0,0,1,0.0336,0.3468,0.3831
"3",0,0,0,1,0,0.0275,0.3288,0.3406
"4",0,0,0,1,1,0.0334,0.4718,0.4765
"5",0,0,1,0,0,0.0108,0.3079,0.3052
"6",0,0,1,0,1,0.0253,0.4479,0.4955
"7",0,0,1,1,0,0.026,0.4281,0.431
"8",0,0,1,1,1,0.0377,0.5772,0.5782
"9",0,1,0,0,0,0.0175,0.3189,0.2967
"10",0,1,0,0,1,0.0263,0.4605,0.4469
"11",0,1,0,1,0,0.0248,0.4406,0.4231
"12",0,1,0,1,1,0.0272,0.5895,0.5322
"13",0,1,1,0,0,0.011,0.417,0.424
"14",0,1,1,0,1,0.0238,0.566,0.5334
"15",0,1,1,1,0,0.0285,0.5462,0.5381
"16",0,1,1,1,1,0.0395,0.687,0.6825
"17",1,0,0,0,0,0.0085,0.3238,0.3956
"18",1,0,0,0,1,0.0087,0.4661,0.4751
"19",1,0,0,1,0,0.0268,0.4462,0.4345
"20",1,0,0,1,1,0.0194,0.595,0.5985
"21",1,0,1,0,0,0.0228,0.4225,0.3593
"22",1,0,1,0,1,0.0223,0.5716,0.568
"23",1,0,1,1,0,0.0797,0.5518,0.525
"24",1,0,1,1,1,0.063,0.6918,0.6815
"25",1,1,0,0,0,0.0103,0.435,0.3956
"26",1,1,0,0,1,0.0098,0.584,0.5539
"27",1,1,0,1,0,0.0307,0.5643,0.5938
"28",1,1,0,1,1,0.0198,0.7025,0.6788
"29",1,1,1,0,0,0.0258,0.5405,0.5497
"30",1,1,1,0,1,0.0277,0.682,0.6632
"31",1,1,1,1,0,0.1171,0.6643,0.6838
"32",1,1,1,1,1,0.097,0.783,0.8048
