"","V8526","V7215","V8527","V8512","V7202","freq","pred","classPurity"
"1",0,0,0,0,0,0.017,0.1817,0.1512
"2",0,0,0,0,1,0.0363,0.285,0.3243
"3",0,0,0,1,0,0.0274,0.2745,0.2635
"4",0,0,0,1,1,0.0356,0.4045,0.4111
"5",0,0,1,0,0,0.012,0.2627,0.2893
"6",0,0,1,0,1,0.0248,0.3901,0.4382
"7",0,0,1,1,0,0.0254,0.3778,0.4125
"8",0,0,1,1,1,0.0359,0.5216,0.5179
"9",0,1,0,0,0,0.018,0.2551,0.2582
"10",0,1,0,0,1,0.0264,0.3808,0.3596
"11",0,1,0,1,0,0.0263,0.3686,0.3459
"12",0,1,0,1,1,0.0287,0.5118,0.4379
"13",0,1,1,0,0,0.0121,0.3547,0.2869
"14",0,1,1,0,1,0.0248,0.4967,0.4622
"15",0,1,1,1,0,0.0286,0.4837,0.4844
"16",0,1,1,1,1,0.0342,0.6272,0.6792
"17",1,0,0,0,0,0.0091,0.2713,0.2826
"18",1,0,0,0,1,0.0079,0.4006,0.45
"19",1,0,0,1,0,0.0323,0.3882,0.3988
"20",1,0,0,1,1,0.0181,0.5326,0.5519
"21",1,0,1,0,0,0.0262,0.374,0.3321
"22",1,0,1,0,1,0.0244,0.5175,0.5466
"23",1,0,1,1,0,0.0819,0.5046,0.4915
"24",1,0,1,1,1,0.0609,0.6465,0.6
"25",1,1,0,0,0,0.0101,0.3649,0.3922
"26",1,1,0,0,1,0.0098,0.5077,0.5051
"27",1,1,0,1,0,0.0346,0.4948,0.5286
"28",1,1,0,1,1,0.0185,0.6374,0.6257
"29",1,1,1,0,0,0.0255,0.4797,0.5271
"30",1,1,1,0,1,0.0262,0.6234,0.5547
"31",1,1,1,1,0,0.1128,0.6111,0.6114
"32",1,1,1,1,1,0.0877,0.7383,0.7664
