"","V7221","V7215","V8527","V7202","V8512","V8526","V7206","V8509","V8530"
"1",0,0,0,0,1,0,1,0,0
"2",0,1,0,0,0,0,0,1,0
"3",0,0,1,1,1,0,1,0,1
"4",0,1,0,1,0,1,1,0,0
"5",1,1,1,1,1,1,1,0,1
"6",0,0,1,0,1,1,1,0,1
"7",0,1,1,0,0,1,1,0,1
"8",1,1,1,1,1,1,1,1,0
"9",1,0,1,0,1,1,1,0,1
"10",1,1,1,0,1,1,1,0,1
"11",1,1,0,0,0,0,1,1,1
"12",0,1,0,0,0,1,1,0,1
"13",1,1,1,1,0,0,1,1,0
"14",1,0,1,1,0,0,1,0,1
"15",0,0,1,1,1,1,1,0,1
"16",1,0,0,0,1,0,1,0,1
"17",1,1,1,0,0,1,1,0,1
"18",1,0,1,1,1,1,1,0,1
"19",0,0,1,0,0,1,1,1,0
"20",1,0,0,0,1,1,1,0,1
"21",1,0,1,0,1,1,1,0,1
"22",1,1,1,0,0,1,1,1,0
"23",0,1,0,0,1,0,1,1,0
"24",0,0,0,0,0,0,1,1,1
"25",1,0,0,1,1,1,1,0,0
"26",0,0,0,0,1,1,1,0,1
"27",1,0,1,0,1,0,1,0,1
"28",0,1,1,0,1,1,1,0,1
"29",0,0,1,0,1,1,1,0,0
"30",0,1,0,1,1,0,1,0,0
"31",1,1,1,1,1,1,1,0,1
"32",0,0,0,0,1,1,1,0,1
"33",1,1,0,1,1,1,1,0,1
"34",1,1,1,0,1,1,1,0,1
"35",0,1,1,1,0,0,1,0,0
"36",0,0,1,1,1,1,1,0,0
"37",0,1,1,0,0,0,0,1,0
"38",1,0,1,1,0,1,1,0,0
"39",1,0,0,0,0,1,1,1,1
"40",1,1,1,1,1,1,1,0,1
"41",1,1,0,0,1,1,0,0,0
"42",0,0,1,1,0,0,0,0,0
"43",1,0,0,0,1,1,0,0,1
"44",1,1,1,0,1,1,1,0,1
"45",0,1,0,1,0,0,1,0,0
"46",1,0,0,1,1,1,0,0,0
"47",1,1,1,0,1,1,1,0,1
"48",0,0,1,1,1,1,1,0,1
"49",0,1,1,0,1,1,0,0,1
"50",1,1,1,1,0,1,0,1,0
"51",0,0,1,1,0,0,1,0,0
"52",1,1,1,0,1,1,1,0,1
"53",1,0,1,0,1,0,1,0,1
"54",0,0,1,1,1,1,1,0,1
"55",1,0,1,1,1,1,1,0,1
"56",1,1,0,1,0,1,1,0,0
"57",1,1,0,1,1,1,0,0,1
"58",1,1,1,0,1,1,1,0,1
"59",1,1,0,1,1,0,1,0,0
"60",1,1,1,1,0,1,1,1,1
"61",1,0,0,1,0,0,1,0,1
"62",0,0,1,1,0,0,1,1,0
"63",1,1,0,1,1,0,1,0,1
"64",1,1,1,1,1,1,1,0,1
"65",1,1,1,1,1,1,1,0,0
"66",1,1,1,1,1,0,1,0,0
"67",0,1,0,1,1,0,1,0,0
"68",1,0,1,1,1,1,1,0,1
"69",0,0,0,1,0,0,1,1,0
"70",0,0,1,1,1,0,0,0,1
"71",0,1,0,0,1,1,1,0,1
"72",1,1,1,1,1,0,0,0,0
"73",1,1,1,1,1,1,1,0,1
"74",1,0,1,1,1,1,1,0,0
"75",1,0,1,1,1,1,1,0,1
"76",1,0,1,1,1,1,1,0,0
"77",0,1,0,0,1,0,1,0,1
"78",1,1,0,0,1,0,1,0,1
"79",1,0,1,1,1,0,1,0,1
"80",0,0,1,1,1,0,0,1,0
"81",1,1,0,0,1,1,1,0,1
"82",0,0,0,0,1,1,0,1,1
"83",1,0,1,0,1,1,1,0,1
"84",1,1,1,1,1,1,1,0,1
"85",1,0,0,1,1,0,0,0,0
"86",0,1,1,1,0,0,0,1,0
"87",1,1,1,1,1,0,1,0,0
"88",0,0,1,0,1,1,1,0,0
"89",1,1,0,0,1,0,1,0,1
"90",0,1,0,0,0,1,1,0,0
"91",0,1,1,0,0,1,1,0,1
"92",0,1,0,1,1,0,0,0,1
"93",0,0,0,1,1,1,1,0,1
"94",0,0,1,0,0,1,1,0,1
"95",0,1,1,0,1,0,1,0,0
"96",1,1,1,1,1,1,1,0,1
"97",1,1,0,1,1,0,1,0,0
"98",1,1,1,0,1,1,1,0,1
"99",0,1,1,0,1,1,1,0,1
"100",1,0,1,1,1,1,1,0,1
"101",1,0,1,1,1,0,1,0,1
"102",1,1,0,1,1,0,0,0,1
"103",0,1,0,0,1,0,1,0,1
"104",0,1,0,0,1,1,1,0,1
"105",1,0,0,1,1,0,1,0,0
"106",1,1,1,1,1,0,1,0,1
"107",0,0,1,0,1,1,1,0,1
"108",0,1,0,1,1,0,1,0,1
"109",1,0,1,0,1,1,1,0,1
"110",0,1,0,0,0,1,0,1,0
"111",0,0,0,0,1,1,1,0,1
"112",1,1,1,1,1,1,0,0,1
"113",0,1,1,0,1,1,1,0,1
"114",0,1,0,0,0,0,0,1,0
"115",0,0,1,1,0,1,0,0,0
"116",1,0,1,1,1,1,1,0,1
"117",1,1,0,0,0,1,1,0,1
"118",1,1,1,1,1,1,1,0,1
"119",0,0,0,0,0,1,1,1,1
"120",0,1,1,1,1,0,0,0,0
"121",0,1,0,1,0,1,1,1,1
"122",0,1,1,0,1,0,1,0,1
"123",1,1,1,1,1,1,1,0,1
"124",1,0,1,0,1,1,1,0,1
"125",1,0,1,1,1,1,0,0,1
"126",0,1,1,0,1,1,1,0,1
"127",1,0,1,0,1,0,1,0,0
"128",0,0,1,0,1,1,1,0,1
"129",1,1,1,1,1,1,1,0,1
"130",0,1,0,0,1,0,0,0,1
"131",1,0,0,1,0,0,1,0,1
"132",1,0,0,1,0,0,1,0,0
"133",0,1,0,0,1,0,1,0,1
"134",1,0,1,1,1,1,0,0,1
"135",1,1,0,0,1,1,1,0,0
"136",1,1,0,1,1,1,1,0,1
"137",0,1,1,0,1,1,1,0,1
"138",0,1,0,0,0,0,1,0,0
"139",0,1,1,0,1,0,1,0,1
"140",0,1,1,1,1,0,1,0,0
"141",1,1,1,1,1,0,0,0,0
"142",1,1,0,0,1,0,1,0,1
"143",1,0,1,1,1,0,1,0,1
"144",0,0,1,1,1,1,1,0,1
"145",1,1,1,0,1,1,1,0,1
"146",1,1,1,1,0,1,0,1,0
"147",0,0,0,0,0,0,1,1,0
"148",0,1,0,1,1,0,0,0,0
"149",0,0,0,0,1,0,1,0,0
"150",1,1,1,1,0,1,1,1,1
"151",0,0,1,0,1,1,0,0,1
"152",1,1,1,1,1,1,0,0,1
"153",1,0,0,0,1,0,1,0,1
"154",0,1,1,0,0,1,1,1,1
"155",0,0,1,0,1,1,1,0,0
"156",0,1,1,0,1,1,1,0,0
"157",0,1,1,0,1,1,0,0,1
"158",1,1,1,1,1,1,1,0,1
"159",0,0,1,1,0,0,1,0,0
"160",0,1,1,0,1,1,1,0,0
"161",1,1,1,1,1,1,1,0,1
"162",0,0,0,1,1,0,1,0,1
"163",0,1,1,1,1,1,1,1,1
"164",1,1,0,1,0,0,0,0,0
"165",0,0,1,0,0,0,0,0,0
"166",1,1,1,1,1,1,1,0,1
"167",0,0,1,0,1,1,1,0,1
"168",1,0,1,0,1,1,1,0,1
"169",1,1,0,0,0,1,1,0,1
"170",0,1,1,1,0,1,1,0,1
"171",1,0,0,1,0,0,0,0,0
"172",1,0,1,0,0,0,1,1,0
"173",0,0,1,0,1,0,1,0,1
"174",1,1,1,0,1,1,1,0,1
"175",0,1,1,1,1,1,1,0,1
"176",0,0,0,0,0,0,1,0,0
"177",1,0,1,1,1,0,1,0,1
"178",0,0,1,0,1,1,1,0,0
"179",1,1,1,0,1,1,1,0,1
"180",0,0,1,0,0,1,1,0,1
"181",0,1,1,1,1,1,1,0,1
"182",0,0,0,1,1,0,1,0,0
"183",0,1,1,1,1,0,1,0,0
"184",1,1,1,1,0,1,1,0,0
"185",1,1,1,0,1,1,1,1,1
"186",1,1,1,1,1,1,1,0,1
"187",0,0,0,1,1,0,1,0,0
"188",1,0,1,1,1,1,1,0,1
"189",1,1,1,0,1,1,1,0,1
"190",1,1,1,0,1,0,1,0,1
"191",0,0,0,1,0,0,0,1,1
"192",1,1,1,0,1,1,1,0,1
"193",1,1,1,1,1,1,1,0,1
"194",0,0,0,1,1,1,0,0,1
"195",1,1,1,1,1,1,0,0,0
"196",0,1,0,0,1,1,1,0,1
"197",0,0,0,1,0,0,0,0,0
"198",0,0,1,1,1,1,0,0,1
"199",1,1,1,0,1,1,1,0,1
"200",0,0,0,0,1,0,1,0,1
"201",1,1,1,0,1,1,0,0,1
"202",1,1,1,0,1,1,0,0,1
"203",0,0,1,1,0,1,1,0,1
"204",1,0,1,1,0,0,1,1,0
"205",1,0,0,1,1,1,0,0,1
"206",1,1,1,1,1,0,1,0,1
"207",0,1,1,1,1,1,1,0,0
"208",0,1,0,1,0,0,1,0,0
"209",1,0,0,0,0,0,1,1,1
"210",1,1,0,1,1,0,0,0,1
"211",1,0,1,1,1,0,0,0,1
"212",0,1,1,0,1,1,0,1,1
"213",1,1,0,1,0,1,1,0,0
"214",1,1,1,1,0,1,1,0,0
"215",0,0,1,0,1,0,1,1,1
"216",0,1,0,1,0,1,1,1,1
"217",0,0,1,0,1,1,1,0,1
"218",0,0,1,0,1,1,1,0,1
"219",1,1,0,0,1,1,1,0,1
"220",1,1,0,0,1,1,0,0,1
"221",0,0,0,0,1,0,1,0,0
"222",0,0,1,1,1,1,0,0,1
"223",1,1,0,0,1,0,1,0,1
"224",0,0,0,1,0,0,1,1,0
"225",0,0,0,1,0,0,0,0,1
"226",0,1,1,1,1,1,1,0,0
"227",0,0,1,0,1,1,1,0,1
"228",0,1,1,1,1,1,1,0,1
"229",0,0,1,1,1,0,0,0,1
"230",1,0,1,0,1,1,1,0,1
"231",1,1,1,0,1,1,0,0,1
"232",1,0,1,1,1,0,1,0,0
"233",0,1,1,1,0,0,1,1,1
"234",0,1,0,1,0,1,0,0,1
"235",0,0,1,0,0,1,0,1,1
"236",0,1,0,0,0,0,1,0,0
"237",1,1,1,0,1,1,1,0,1
"238",0,0,0,1,1,0,1,0,0
"239",1,1,1,0,0,1,1,0,1
"240",1,1,1,0,1,1,1,0,1
"241",0,1,1,1,1,0,0,0,1
"242",1,1,1,1,1,0,1,0,0
"243",1,0,1,1,1,1,0,0,1
"244",0,0,1,0,1,1,0,0,1
"245",1,0,1,1,1,1,1,0,1
"246",1,0,1,1,1,0,1,0,1
"247",0,0,1,0,0,1,1,0,1
"248",0,0,0,1,1,0,0,0,0
"249",1,1,1,1,1,0,1,0,1
"250",1,1,1,1,1,1,1,0,1
"251",1,0,1,0,1,1,1,1,1
"252",0,1,0,1,1,0,0,0,0
"253",0,1,0,1,0,0,0,0,1
"254",0,0,0,1,1,0,0,0,0
"255",0,1,0,0,1,1,1,0,1
"256",0,0,0,1,1,0,0,0,1
"257",1,0,0,0,1,1,0,0,0
"258",0,0,1,1,1,0,1,0,1
"259",1,1,1,0,1,1,1,0,1
"260",1,1,1,0,1,1,1,0,1
"261",1,1,1,0,0,0,0,0,1
"262",0,1,1,1,1,0,1,1,1
"263",0,0,0,1,1,1,1,0,1
"264",0,1,1,1,1,0,0,0,0
"265",1,0,1,1,0,0,0,0,0
"266",0,0,0,1,0,0,0,1,0
"267",0,0,1,1,0,0,1,1,0
"268",0,0,1,0,1,0,1,0,0
"269",1,0,1,0,1,1,1,0,1
"270",1,0,1,1,1,0,0,0,0
"271",0,0,1,1,0,1,1,0,1
"272",0,0,0,1,0,0,0,1,0
"273",0,1,1,0,1,1,1,0,1
"274",0,0,1,0,1,1,0,1,1
"275",1,1,1,1,0,0,0,0,0
"276",1,1,1,1,1,1,1,0,0
"277",0,0,1,0,0,1,1,0,1
"278",1,1,0,1,1,1,1,0,0
"279",1,1,1,1,1,1,1,1,1
"280",1,1,1,0,0,1,1,1,0
"281",1,1,1,1,1,1,0,0,1
"282",0,0,0,0,1,0,0,0,1
"283",0,1,0,0,1,1,1,0,1
"284",0,0,1,0,1,0,1,1,1
"285",0,0,0,0,1,1,1,0,1
"286",1,0,1,1,1,1,1,0,1
"287",1,1,1,0,0,0,1,1,1
