"","V7206","V8526","V8527","V7215","V8502","freq","pred"
"1",0,0,0,0,0,0.0221,0.274
"2",0,0,0,0,1,0.0096,0.1881
"3",0,0,0,1,0,0.0208,0.3715
"4",0,0,0,1,1,0.01,0.2663
"5",0,0,1,0,0,0.0149,0.38
"6",0,0,1,0,1,0.0088,0.2733
"7",0,0,1,1,0,0.0156,0.4898
"8",0,0,1,1,1,0.0097,0.3708
"9",0,1,0,0,0,0.0099,0.3428
"10",0,1,0,0,1,0.0044,0.2425
"11",0,1,0,1,0,0.0131,0.4496
"12",0,1,0,1,1,0.0034,0.334
"13",0,1,1,0,0,0.0292,0.4586
"14",0,1,1,0,1,0.0074,0.342
"15",0,1,1,1,0,0.0365,0.5702
"16",0,1,1,1,1,0.0083,0.4489
"17",1,0,0,0,0,0.0566,0.3653
"18",1,0,0,0,1,0.0302,0.261
"19",1,0,0,1,0,0.0445,0.4741
"20",1,0,0,1,1,0.0206,0.3563
"21",1,0,1,0,0,0.0559,0.4831
"22",1,0,1,0,1,0.0258,0.3646
"23",1,0,1,1,0,0.061,0.5942
"24",1,0,1,1,1,0.0168,0.4734
"25",1,1,0,0,0,0.0375,0.443
"26",1,1,0,0,1,0.0084,0.3281
"27",1,1,0,1,0,0.0422,0.5548
"28",1,1,0,1,1,0.0084,0.4334
"29",1,1,1,0,0,0.1296,0.5636
"30",1,1,1,0,1,0.0226,0.4422
"31",1,1,1,1,0,0.1882,0.6693
"32",1,1,1,1,1,0.028,0.554
