"","V8512","V7215","V8526","V7202","V7206","V8527","V8509","freq","pred"
"1",0,0,0,0,0,0,0,0.0033,0.1948
"2",0,0,0,0,0,0,1,0.0016,0.132
"3",0,0,0,0,0,1,0,0.0021,0.2634
"4",0,0,0,0,0,1,1,0.0011,0.1835
"5",0,0,0,0,1,0,0,0.0086,0.2822
"6",0,0,0,0,1,0,1,0.0041,0.1981
"7",0,0,0,0,1,1,0,0.0044,0.3675
"8",0,0,0,0,1,1,1,0.0029,0.2675
"9",0,0,0,1,0,0,0,0.0052,0.3107
"10",0,0,0,1,0,0,1,0.0029,0.2208
"11",0,0,0,1,0,1,0,0.0033,0.3999
"12",0,0,0,1,0,1,1,0.0028,0.2952
"13",0,0,0,1,1,0,0,0.014,0.4228
"14",0,0,0,1,1,0,1,0.0113,0.3153
"15",0,0,0,1,1,1,0,0.0116,0.5199
"16",0,0,0,1,1,1,1,0.0076,0.405
"17",0,0,1,0,0,0,0,0.0015,0.2766
"18",0,0,1,0,0,0,1,7e-04,0.1937
"19",0,0,1,0,0,1,0,0.0035,0.3611
"20",0,0,1,0,0,1,1,9e-04,0.2621
"21",0,0,1,0,1,0,0,0.0046,0.3832
"22",0,0,1,0,1,0,1,0.0016,0.2808
"23",0,0,1,0,1,1,0,0.0142,0.4787
"24",0,0,1,0,1,1,1,0.0039,0.3659
"25",0,0,1,1,0,0,0,0.0013,0.416
"26",0,0,1,1,0,0,1,9e-04,0.3093
"27",0,0,1,1,0,1,0,0.0033,0.5129
"28",0,0,1,1,0,1,1,0.0017,0.3983
"29",0,0,1,1,1,0,0,0.0042,0.5365
"30",0,0,1,1,1,0,1,0.0022,0.4212
"31",0,0,1,1,1,1,0,0.0122,0.6312
"32",0,0,1,1,1,1,1,0.0051,0.5182
"33",0,1,0,0,0,0,0,0.0039,0.2805
"34",0,1,0,0,0,0,1,0.0016,0.1968
"35",0,1,0,0,0,1,0,0.0015,0.3656
"36",0,1,0,0,0,1,1,0.0012,0.2659
"37",0,1,0,0,1,0,0,0.0081,0.3878
"38",0,1,0,0,1,0,1,0.0037,0.2848
"39",0,1,0,0,1,1,0,0.0053,0.4836
"40",0,1,0,0,1,1,1,0.003,0.3705
"41",0,1,0,1,0,0,0,0.0057,0.4208
"42",0,1,0,1,0,0,1,0.0035,0.3135
"43",0,1,0,1,0,1,0,0.0041,0.5178
"44",0,1,0,1,0,1,1,0.003,0.403
"45",0,1,0,1,1,0,0,0.0104,0.5414
"46",0,1,0,1,1,0,1,0.0065,0.4259
"47",0,1,0,1,1,1,0,0.0106,0.6357
"48",0,1,0,1,1,1,1,0.0061,0.5231
"49",0,1,1,0,0,0,0,0.0021,0.3812
"50",0,1,1,0,0,0,1,6e-04,0.2791
"51",0,1,1,0,0,1,0,0.0047,0.4766
"52",0,1,1,0,0,1,1,0.001,0.364
"53",0,1,1,0,1,0,0,0.0054,0.5003
"54",0,1,1,0,1,0,1,0.0022,0.3862
"55",0,1,1,0,1,1,0,0.0146,0.5967
"56",0,1,1,0,1,1,1,0.0053,0.4819
"57",0,1,1,1,0,0,0,0.0019,0.5345
"58",0,1,1,1,0,0,1,7e-04,0.4191
"59",0,1,1,1,0,1,0,0.0036,0.6292
"60",0,1,1,1,0,1,1,0.002,0.5161
"61",0,1,1,1,1,0,0,0.0047,0.651
"62",0,1,1,1,1,0,1,0.0025,0.5397
"63",0,1,1,1,1,1,0,0.0157,0.7339
"64",0,1,1,1,1,1,1,0.0066,0.6341
"65",1,0,0,0,0,0,0,0.0057,0.2653
"66",1,0,0,0,0,0,1,0.0013,0.185
"67",1,0,0,0,0,1,0,0.0044,0.348
"68",1,0,0,0,0,1,1,5e-04,0.2512
"69",1,0,0,0,1,0,0,0.0178,0.3698
"70",1,0,0,0,1,0,1,0.0027,0.2694
"71",1,0,0,0,1,1,0,0.0184,0.4645
"72",1,0,0,0,1,1,1,0.0026,0.3528
"73",1,0,0,1,0,0,0,0.0068,0.4022
"74",1,0,0,1,0,0,1,0.0014,0.2972
"75",1,0,0,1,0,1,0,0.0078,0.4987
"76",1,0,0,1,0,1,1,0.0011,0.3847
"77",1,0,0,1,1,0,0,0.0217,0.5223
"78",1,0,0,1,1,0,1,0.0036,0.4073
"79",1,0,0,1,1,1,0,0.0257,0.6178
"80",1,0,0,1,1,1,1,0.0031,0.504
"81",1,0,1,0,0,0,0,0.0047,0.3633
"82",1,0,1,0,0,0,1,6e-04,0.264
"83",1,0,1,0,0,1,0,0.0125,0.4576
"84",1,0,1,0,0,1,1,0.0015,0.3465
"85",1,0,1,0,1,0,0,0.0198,0.4812
"86",1,0,1,0,1,0,1,0.0018,0.3682
"87",1,0,1,0,1,1,0,0.0608,0.5782
"88",1,0,1,0,1,1,1,0.0049,0.4628
"89",1,0,1,1,0,0,0,0.0042,0.5154
"90",1,0,1,1,0,0,1,6e-04,0.4006
"91",1,0,1,1,0,1,0,0.0103,0.6112
"92",1,0,1,1,0,1,1,9e-04,0.497
"93",1,0,1,1,1,0,0,0.0131,0.6335
"94",1,0,1,1,1,0,1,0.0014,0.5207
"95",1,0,1,1,1,1,0,0.0483,0.7187
"96",1,0,1,1,1,1,1,0.0036,0.6162
"97",1,1,0,0,0,0,0,0.0061,0.3679
"98",1,1,0,0,0,0,1,8e-04,0.2678
"99",1,1,0,0,0,1,0,0.0053,0.4624
"100",1,1,0,0,0,1,1,7e-04,0.3509
