"","V8512","V7215","V8526","V7202","V7206","V8527","V8509","freq","pred"
"1",0,0,0,0,0,0,0,0.0034,0.1362
"2",0,0,0,0,0,0,1,0.0013,0.0869
"3",0,0,0,0,0,1,0,0.0017,0.194
"4",0,0,0,0,0,1,1,0.0014,0.1268
"5",0,0,0,0,1,0,0,0.0112,0.2223
"6",0,0,0,0,1,0,1,0.005,0.1471
"7",0,0,0,0,1,1,0,0.0046,0.3039
"8",0,0,0,0,1,1,1,0.0023,0.2085
"9",0,0,0,1,0,0,0,0.0062,0.2445
"10",0,0,0,1,0,0,1,0.0042,0.1634
"11",0,0,0,1,0,1,0,0.0037,0.3307
"12",0,0,0,1,0,1,1,0.0019,0.2297
"13",0,0,0,1,1,0,0,0.0161,0.3699
"14",0,0,0,1,1,0,1,0.0102,0.2616
"15",0,0,0,1,1,1,0,0.0107,0.4726
"16",0,0,0,1,1,1,1,0.0077,0.351
"17",0,0,1,0,0,0,0,0.0016,0.2073
"18",0,0,1,0,0,0,1,9e-04,0.1363
"19",0,0,1,0,0,1,0,0.0048,0.2853
"20",0,0,1,0,0,1,1,6e-04,0.1942
"21",0,0,1,0,1,0,0,0.0061,0.3216
"22",0,0,1,0,1,0,1,0.0017,0.2225
"23",0,0,1,0,1,1,0,0.0136,0.4199
"24",0,0,1,0,1,1,1,0.0052,0.3041
"25",0,0,1,1,0,0,0,0.0015,0.3493
"26",0,0,1,1,0,0,1,7e-04,0.2447
"27",0,0,1,1,0,1,0,0.0039,0.4505
"28",0,0,1,1,0,1,1,0.0021,0.331
"29",0,0,1,1,1,0,0,0.0039,0.4933
"30",0,0,1,1,1,0,1,0.0015,0.3701
"31",0,0,1,1,1,1,0,0.013,0.5978
"32",0,0,1,1,1,1,1,0.0052,0.4729
"33",0,1,0,0,0,0,0,0.0045,0.2068
"34",0,1,0,0,0,0,1,0.0021,0.136
"35",0,1,0,0,0,1,0,0.0022,0.2848
"36",0,1,0,0,0,1,1,0.0011,0.1937
"37",0,1,0,0,1,0,0,0.0079,0.321
"38",0,1,0,0,1,0,1,0.0044,0.222
"39",0,1,0,0,1,1,0,0.0055,0.4193
"40",0,1,0,0,1,1,1,0.0027,0.3035
"41",0,1,0,1,0,0,0,0.0063,0.3487
"42",0,1,0,1,0,0,1,0.004,0.2442
"43",0,1,0,1,0,1,0,0.0033,0.4498
"44",0,1,0,1,0,1,1,0.0033,0.3304
"45",0,1,0,1,1,0,0,0.0101,0.4926
"46",0,1,0,1,1,0,1,0.0057,0.3695
"47",0,1,0,1,1,1,0,0.0095,0.5972
"48",0,1,0,1,1,1,1,0.0067,0.4722
"49",0,1,1,0,0,0,0,0.0011,0.3019
"50",0,1,1,0,0,0,1,0.001,0.207
"51",0,1,1,0,0,1,0,0.0044,0.3977
"52",0,1,1,0,0,1,1,9e-04,0.285
