"","V7221","V7202","V7206","V7215"
"1",0,1,1,0
"2",1,1,0,1
"3",0,1,1,1
"4",0,1,1,0
"5",0,1,1,1
"6",0,1,1,1
"7",1,1,1,1
"8",0,1,1,1
"9",1,1,1,1
"10",1,1,1,1
"11",1,1,0,1
"12",1,1,1,1
"13",1,1,0,1
"14",1,1,1,1
"15",0,1,1,0
"16",0,0,1,1
"17",1,1,1,0
"18",0,1,0,0
"19",1,1,0,1
"20",1,1,1,0
"21",1,1,1,1
"22",1,1,1,1
"23",1,1,1,0
"24",0,1,0,0
"25",0,1,1,0
"26",0,1,1,1
"27",0,1,1,0
"28",1,1,1,0
"29",1,1,1,0
"30",1,1,1,1
"31",0,1,1,1
"32",1,0,0,0
"33",1,1,1,0
"34",0,1,1,1
"35",1,1,0,1
"36",1,1,1,1
"37",0,1,1,0
"38",1,1,1,1
"39",1,1,1,0
"40",1,1,1,1
"41",1,1,1,0
"42",0,1,1,0
"43",0,1,1,0
"44",1,1,0,1
"45",0,1,1,1
"46",0,1,0,1
"47",1,1,1,0
"48",0,0,0,1
"49",0,1,1,1
"50",1,1,1,1
"51",1,1,1,1
"52",0,1,1,1
"53",1,1,1,1
"54",0,1,1,1
"55",1,1,1,1
"56",0,1,1,1
"57",0,0,0,0
"58",1,1,1,1
"59",0,1,1,0
"60",1,1,1,0
"61",0,1,1,0
"62",0,1,1,0
"63",1,1,1,0
"64",1,1,1,1
"65",0,1,1,1
"66",1,1,1,1
"67",0,0,1,1
"68",1,1,1,1
"69",1,1,1,0
"70",0,1,0,0
"71",0,1,0,0
"72",1,1,1,0
"73",1,1,1,0
"74",0,1,0,1
"75",0,0,1,0
"76",1,1,1,1
"77",0,1,1,1
"78",0,1,0,0
"79",1,1,0,0
"80",0,1,1,1
"81",1,1,0,1
"82",0,1,1,0
"83",0,1,1,0
"84",1,1,1,0
"85",0,1,1,1
"86",0,1,1,1
"87",0,1,1,0
"88",1,1,0,1
"89",0,1,1,0
"90",1,1,1,1
"91",1,1,0,0
"92",1,1,1,1
"93",0,1,1,1
"94",1,1,1,0
"95",0,1,1,1
"96",1,1,1,0
"97",0,1,0,0
"98",1,1,1,0
"99",0,0,0,0
"100",0,1,1,0
"101",1,1,1,1
"102",1,1,1,0
"103",1,1,1,1
"104",1,1,1,1
"105",1,1,0,1
"106",1,1,1,0
"107",1,1,1,1
"108",1,1,0,1
"109",1,0,0,1
"110",0,0,0,0
"111",1,1,1,1
"112",1,1,1,0
"113",0,1,1,1
"114",1,0,0,1
"115",1,1,1,1
"116",1,1,1,1
"117",1,1,1,0
"118",1,1,1,1
"119",0,0,1,1
"120",1,1,1,1
"121",1,1,1,0
"122",0,1,0,1
"123",0,1,1,1
"124",1,1,1,0
"125",1,1,1,0
"126",1,0,1,0
"127",1,1,1,0
"128",1,1,1,0
"129",0,1,0,0
"130",0,1,0,0
"131",0,1,0,0
"132",1,1,0,0
"133",0,1,1,0
"134",1,1,1,1
"135",1,1,1,1
