"","V8517","V8502","V8527","V7552","V8512"
"1",0,0,0,1,1
"2",0,1,0,1,0
"3",0,0,1,1,1
"4",0,1,0,1,0
"5",0,0,1,0,1
"6",0,0,1,1,1
"7",0,0,1,1,0
"8",0,1,1,1,1
"9",0,0,1,0,1
"10",0,0,1,0,1
"11",0,1,0,1,0
"12",0,0,1,1,1
"13",0,0,0,1,0
"14",0,1,1,1,0
"15",0,0,1,1,0
"16",0,1,1,1,1
"17",0,0,0,0,1
"18",0,0,1,0,0
"19",1,0,1,1,1
"20",0,1,1,0,0
"21",0,0,1,0,1
"22",0,0,0,0,1
"23",0,0,1,1,1
"24",0,1,1,0,0
"25",1,1,0,1,1
"26",0,0,0,1,0
"27",1,0,0,1,1
"28",0,0,0,1,1
"29",0,0,0,0,1
"30",0,0,1,1,1
"31",1,0,1,0,1
"32",1,0,1,1,1
"33",1,1,1,1,1
"34",0,1,0,0,1
"35",0,0,1,1,1
"36",0,0,0,0,1
"37",0,0,0,1,1
"38",0,0,1,1,1
"39",0,1,1,1,0
"40",0,0,1,1,1
"41",1,1,1,1,0
"42",0,0,1,1,0
"43",0,1,0,0,0
"44",1,0,1,1,1
"45",0,1,0,1,1
"46",0,0,1,1,0
"47",1,0,0,1,1
"48",0,0,1,0,1
"49",1,1,0,1,0
"50",1,0,1,0,0
"51",0,0,0,1,1
"52",0,0,1,0,1
"53",0,0,1,0,1
"54",0,0,1,1,1
"55",0,1,1,1,0
"56",0,1,1,1,0
"57",0,0,1,0,1
"58",0,0,1,0,1
"59",0,0,1,1,1
"60",0,0,1,1,1
"61",1,0,0,1,0
"62",0,0,0,1,1
"63",0,0,1,0,1
"64",0,1,0,1,1
"65",1,1,1,1,0
"66",1,1,0,1,0
"67",0,1,1,1,0
"68",1,0,0,1,1
"69",0,0,1,0,1
"70",0,0,1,0,1
"71",0,0,1,1,1
"72",0,0,0,1,1
"73",0,0,1,1,1
"74",1,1,0,1,0
"75",0,0,1,1,1
"76",0,0,1,0,1
"77",0,0,0,1,1
"78",0,0,1,1,1
"79",0,0,1,1,1
"80",0,0,1,1,1
"81",0,0,1,1,1
"82",0,0,1,0,1
"83",0,0,1,1,1
"84",0,1,0,0,1
"85",0,0,0,1,1
"86",0,0,1,1,1
"87",0,1,1,1,1
"88",0,0,0,1,1
"89",1,0,0,1,1
"90",0,0,1,1,1
"91",0,0,1,1,1
"92",0,0,0,1,1
"93",1,1,1,1,0
"94",0,1,1,1,1
