"","V8502","V8509","V8527","V7552","V8526","V7206","freq","pred","classPurity"
"1",0,0,0,0,0,0,0.0091,0.156,0.1572
"2",0,0,0,0,0,1,0.0206,0.1181,0.1181
"3",0,0,0,0,1,0,0.0054,0.1319,0.1259
"4",0,0,0,0,1,1,0.0207,0.0991,0.0965
"5",0,0,0,1,0,0,0.0284,0.2186,0.2519
"6",0,0,0,1,0,1,0.0713,0.1684,0.1624
"7",0,0,0,1,1,0,0.0167,0.187,0.177
"8",0,0,0,1,1,1,0.0558,0.1428,0.134
"9",0,0,1,0,0,0,0.0065,0.12,0.1296
"10",0,0,1,0,0,1,0.0273,0.0898,0.09
"11",0,0,1,0,1,0,0.017,0.1008,0.0972
"12",0,0,1,0,1,1,0.0899,0.0751,0.0652
"13",0,0,1,1,0,0,0.0233,0.171,0.1506
"14",0,0,1,1,0,1,0.0816,0.13,0.1277
"15",0,0,1,1,1,0,0.045,0.145,0.1582
"16",0,0,1,1,1,1,0.217,0.1094,0.106
"17",0,1,0,0,0,0,9e-04,0.2037,0.3478
"18",0,1,0,0,0,1,0.0017,0.1563,0.2
"19",0,1,0,0,1,0,4e-04,0.1737,0
"20",0,1,0,0,1,1,0.0012,0.1321,0.0968
"21",0,1,0,1,0,0,0.0028,0.279,0.3623
"22",0,1,0,1,0,1,0.0066,0.2189,0.2553
"23",0,1,0,1,1,0,0.0019,0.2414,0.2473
"24",0,1,0,1,1,1,0.0037,0.1873,0.2674
"25",0,1,1,0,0,0,7e-04,0.1587,0.1765
"26",0,1,1,0,0,1,0.002,0.1202,0.2
"27",0,1,1,0,1,0,0.0011,0.1342,0.1296
"28",0,1,1,0,1,1,0.0041,0.1009,0.1311
"29",0,1,1,1,0,0,0.002,0.222,0.21
"30",0,1,1,1,0,1,0.0066,0.1713,0.2121
"31",0,1,1,1,1,0,0.0028,0.19,0.2826
"32",0,1,1,1,1,1,0.0108,0.1452,0.1667
"33",1,0,0,0,0,0,0.0018,0.2196,0.2222
"34",1,0,0,0,0,1,0.0037,0.1692,0.246
"35",1,0,0,0,1,0,7e-04,0.1879,0.2703
"36",1,0,0,0,1,1,0.0028,0.1435,0.1667
"37",1,0,0,1,0,0,0.0066,0.2986,0.2636
"38",1,0,0,1,0,1,0.016,0.2356,0.2697
"39",1,0,0,1,1,0,0.0037,0.2593,0.235
"40",1,0,0,1,1,1,0.0074,0.2022,0.244
"41",1,0,1,0,0,0,0.0014,0.1718,0.1304
"42",1,0,1,0,0,1,0.004,0.1306,0.1608
"43",1,0,1,0,1,0,0.0019,0.1457,0.1505
"44",1,0,1,0,1,1,0.0066,0.1099,0.1088
"45",1,0,1,1,0,0,0.0049,0.2389,0.2177
"46",1,0,1,1,0,1,0.0131,0.1852,0.1863
"47",1,0,1,1,1,0,0.0064,0.2051,0.1988
"48",1,0,1,1,1,1,0.0196,0.1575,0.2088
"49",1,1,0,0,0,0,0.0019,0.2802,0.2474
"50",1,1,0,0,0,1,0.0055,0.2199,0.2347
"51",1,1,0,0,1,0,8e-04,0.2424,0.122
"52",1,1,0,0,1,1,0.0027,0.1881,0.1654
"53",1,1,0,1,0,0,0.0102,0.3707,0.2865
"54",1,1,0,1,0,1,0.0219,0.299,0.2793
"55",1,1,0,1,1,0,0.0027,0.3263,0.3066
"56",1,1,0,1,1,1,0.0072,0.2596,0.2431
"57",1,1,1,0,0,0,0.0017,0.223,0.2771
"58",1,1,1,0,0,1,0.004,0.1721,0.1881
"59",1,1,1,0,1,0,0.0017,0.1909,0.2048
"60",1,1,1,0,1,1,0.0063,0.1459,0.1556
"61",1,1,1,1,0,0,0.0074,0.3028,0.2946
"62",1,1,1,1,0,1,0.016,0.2393,0.213
"63",1,1,1,1,1,0,0.0061,0.2631,0.2727
"64",1,1,1,1,1,1,0.0184,0.2055,0.2002
