"","V8502","V8527","V8512","V8536","V8526","freq","pred"
"1",0,0,0,0,0,0.0462,0.1836
"2",0,0,0,0,1,0.02,0.1546
"3",0,0,0,1,0,0.0045,0.2537
"4",0,0,0,1,1,0.0012,0.2165
"5",0,0,1,0,0,0.0889,0.1657
"6",0,0,1,0,1,0.0837,0.139
"7",0,0,1,1,0,0.0013,0.2308
"8",0,0,1,1,1,8e-04,0.1962
"9",0,1,0,0,0,0.0335,0.1402
"10",0,1,0,0,1,0.062,0.117
"11",0,1,0,1,0,0.0025,0.1976
"12",0,1,0,1,1,0.0024,0.1669
"13",0,1,1,0,0,0.1125,0.1258
"14",0,1,1,0,1,0.3205,0.1048
"15",0,1,1,1,0,0.0015,0.1786
"16",0,1,1,1,1,0.003,0.1503
"17",1,0,0,0,0,0.034,0.2724
"18",1,0,0,0,1,0.0129,0.2334
"19",1,0,0,1,0,0.0104,0.3614
"20",1,0,0,1,1,0.0028,0.3152
"21",1,0,1,0,0,0.0218,0.2485
"22",1,0,1,0,1,0.0117,0.2119
"23",1,0,1,1,0,0.0018,0.3332
"24",1,0,1,1,1,6e-04,0.2889
"25",1,1,0,0,0,0.0276,0.2135
"26",1,1,0,0,1,0.0282,0.1808
"27",1,1,0,1,0,0.0077,0.2909
"28",1,1,0,1,1,0.006,0.2501
"29",1,1,1,0,0,0.0166,0.1933
"30",1,1,1,0,1,0.0309,0.1631
"31",1,1,1,1,0,9e-04,0.2659
"32",1,1,1,1,1,0.0017,0.2275
