"","V7221","V7101","V7206","V8512"
"1",0,1,1,1
"2",1,0,1,1
"3",0,0,0,0
"4",0,0,1,1
"5",0,0,1,0
"6",1,0,1,1
"7",0,0,1,1
"8",1,0,1,1
"9",0,0,1,1
"10",0,0,1,0
"11",0,0,1,1
"12",0,0,1,1
"13",1,0,1,0
"14",0,0,1,1
"15",1,0,1,1
"16",1,1,1,0
"17",0,0,1,1
"18",1,0,1,1
"19",0,0,1,0
"20",0,1,0,1
"21",0,0,1,1
"22",1,0,1,1
"23",1,0,1,0
"24",0,1,1,0
"25",0,0,1,1
"26",0,0,1,1
"27",1,0,1,0
"28",1,0,1,1
"29",0,1,1,1
"30",0,1,1,0
"31",1,0,0,1
"32",1,0,1,1
"33",1,1,1,1
"34",1,0,1,0
"35",1,0,1,1
"36",0,1,1,0
"37",1,0,1,1
"38",0,0,0,1
"39",0,0,1,1
"40",0,0,1,1
"41",0,1,1,1
"42",0,0,1,1
"43",0,1,1,1
"44",0,0,1,1
"45",0,0,1,1
"46",0,0,1,1
"47",0,0,1,1
"48",0,0,1,1
"49",1,1,1,1
"50",0,1,0,1
"51",0,0,1,1
"52",0,0,1,1
"53",1,0,1,1
"54",0,0,1,1
"55",0,0,1,1
"56",1,1,1,1
"57",0,0,1,0
"58",0,1,1,0
"59",0,0,1,1
"60",0,0,1,1
"61",0,1,0,0
"62",1,0,1,0
"63",1,0,1,0
"64",0,0,1,1
"65",1,0,0,1
"66",0,1,1,1
"67",0,0,0,0
"68",0,0,0,0
"69",1,1,0,1
"70",0,0,1,0
"71",1,0,1,1
"72",0,1,1,0
"73",0,1,0,0
"74",0,0,0,1
"75",0,0,1,1
"76",0,0,1,1
"77",0,0,1,1
"78",0,0,1,1
"79",1,1,1,0
"80",0,0,1,1
"81",0,0,1,0
"82",0,0,0,1
"83",1,0,0,0
"84",0,0,1,0
"85",0,0,1,1
"86",1,0,1,1
"87",1,0,1,1
"88",0,0,1,1
"89",1,0,1,1
"90",1,0,1,0
"91",1,0,1,1
"92",1,0,0,1
"93",1,0,1,1
"94",1,0,1,1
"95",1,0,1,1
"96",1,0,0,1
"97",1,0,1,0
"98",0,0,1,1
"99",1,0,1,0
"100",0,0,1,0
"101",1,0,0,0
"102",0,0,1,1
"103",1,0,1,1
"104",0,0,1,1
"105",1,0,1,1
"106",0,0,1,1
"107",1,0,1,1
"108",0,1,1,0
"109",1,0,1,0
"110",0,1,1,1
"111",0,0,0,0
"112",0,0,0,1
"113",0,0,1,1
"114",0,0,1,1
"115",0,0,0,1
"116",1,1,1,1
"117",0,1,1,1
"118",0,1,1,0
"119",0,0,1,1
"120",1,0,0,1
"121",0,0,1,0
"122",1,0,1,0
"123",0,0,1,1
"124",1,0,1,1
"125",1,0,1,1
"126",0,0,1,1
"127",1,0,1,1
"128",0,0,1,1
"129",0,1,1,1
"130",1,1,1,1
"131",0,1,0,0
"132",0,1,0,1
"133",1,0,1,1
"134",0,0,0,1
