"","V7221","V7101","V8509","V8512"
"1",0,1,0,1
"2",1,0,0,1
"3",0,0,1,0
"4",0,0,0,1
"5",0,0,0,0
"6",1,0,0,1
"7",0,0,0,1
"8",1,0,1,1
"9",0,0,0,1
"10",0,0,0,0
"11",1,0,1,1
"12",0,0,0,1
"13",1,0,0,0
"14",1,0,0,1
"15",1,0,0,1
"16",1,1,1,0
"17",0,0,0,1
"18",1,0,0,1
"19",0,0,0,0
"20",0,1,0,1
"21",1,0,0,1
"22",1,0,0,1
"23",1,0,1,0
"24",1,1,0,0
"25",0,0,0,1
"26",1,0,0,1
"27",1,0,0,0
"28",1,0,0,1
"29",0,1,0,1
"30",0,1,1,0
"31",1,0,0,1
"32",1,0,0,1
"33",1,1,0,1
"34",1,0,1,0
"35",1,0,0,1
"36",0,1,1,0
"37",1,0,0,1
"38",0,0,0,1
"39",1,0,0,1
"40",0,0,0,1
"41",1,1,0,1
"42",1,0,0,1
"43",0,1,0,1
"44",0,0,0,1
"45",0,0,0,1
"46",0,0,0,1
"47",1,0,0,1
"48",0,0,0,1
"49",1,1,0,1
"50",0,1,1,1
"51",0,0,0,1
"52",0,0,0,1
"53",1,0,0,1
"54",0,0,0,1
"55",1,0,0,1
"56",1,1,0,1
"57",0,0,0,0
"58",0,1,0,0
"59",0,0,0,1
"60",0,0,0,1
"61",0,1,1,0
"62",1,0,0,0
"63",1,0,1,0
"64",1,0,0,1
"65",1,0,0,1
"66",1,1,0,1
"67",0,0,0,0
"68",0,0,0,0
"69",1,1,0,1
"70",0,0,0,0
"71",1,0,0,1
"72",0,1,0,0
"73",0,1,0,0
"74",1,0,0,1
"75",1,0,0,1
"76",0,0,0,1
"77",0,0,0,1
"78",0,0,0,1
"79",1,1,0,0
"80",1,0,0,1
"81",0,0,0,0
"82",0,0,0,1
"83",1,0,1,0
"84",0,0,0,0
"85",0,0,0,1
"86",1,0,0,1
"87",1,0,0,1
"88",0,0,0,1
"89",1,0,0,1
"90",1,0,0,0
"91",1,0,0,1
"92",1,0,0,1
"93",1,0,0,1
"94",1,0,1,1
"95",1,0,0,1
"96",1,0,0,1
"97",1,0,1,0
"98",0,0,0,1
"99",1,0,0,0
"100",0,0,1,0
"101",1,0,0,0
"102",1,0,0,1
"103",1,0,0,1
"104",1,0,0,1
"105",1,0,0,1
"106",0,0,0,1
"107",1,0,0,1
"108",0,1,1,0
"109",1,0,0,0
"110",0,1,0,1
"111",0,0,0,0
"112",0,0,0,1
"113",0,0,0,1
"114",0,0,0,1
"115",1,1,0,1
"116",0,1,0,1
"117",1,1,0,0
"118",0,0,0,1
"119",1,0,0,1
"120",0,0,0,0
"121",1,0,0,0
"122",1,0,0,1
"123",1,0,0,1
"124",1,0,0,1
"125",0,0,0,1
"126",1,0,0,1
"127",0,0,0,1
"128",1,1,0,1
"129",1,1,0,1
"130",0,1,0,0
"131",0,1,1,1
"132",1,0,0,1
"133",0,0,1,1
"134",1,0,0,1
"135",0,0,0,0
"136",1,0,0,1
"137",1,0,0,1
"138",0,1,1,0
"139",1,0,0,0
"140",1,0,0,1
"141",1,0,0,1
"142",0,0,1,1
"143",0,0,0,1
"144",0,0,1,1
"145",1,1,0,1
"146",1,0,0,1
"147",0,0,0,0
"148",0,0,0,0
"149",0,1,1,0
"150",0,0,0,1
"151",0,0,0,1
"152",0,0,0,0
"153",0,0,0,1
"154",0,0,0,1
"155",0,0,0,1
"156",1,0,0,1
"157",1,0,0,1
"158",1,0,0,1
"159",1,0,0,1
"160",0,0,1,0
"161",1,0,0,1
"162",1,0,0,1
"163",0,0,0,1
"164",1,0,0,1
"165",1,0,0,1
"166",1,0,0,1
"167",0,0,0,1
"168",1,0,0,1
"169",1,0,0,1
"170",1,0,0,1
"171",0,0,0,1
"172",1,0,0,1
"173",1,0,0,1
"174",0,0,0,1
"175",1,0,0,1
"176",0,0,0,1
"177",1,0,0,1
"178",1,1,0,1
"179",1,0,0,1
"180",0,0,0,1
"181",1,0,0,1
"182",0,0,0,1
"183",0,0,0,1
"184",0,0,0,1
"185",1,0,0,1
"186",1,0,0,1
"187",1,0,0,1
"188",0,0,1,0
"189",0,1,0,1
"190",1,0,0,1
"191",1,0,0,1
"192",0,0,0,1
"193",0,1,1,0
"194",0,0,0,0
"195",1,0,0,1
"196",0,0,1,0
"197",1,0,0,0
"198",1,0,0,0
"199",0,0,0,1
"200",1,0,0,1
"201",0,1,1,0
"202",1,0,0,1
"203",0,1,0,1
"204",0,0,1,0
"205",0,1,0,1
"206",1,0,0,1
"207",1,0,0,1
"208",1,0,0,1
"209",1,0,0,1
"210",1,0,0,1
"211",0,0,0,1
"212",0,0,0,1
"213",0,0,0,0
"214",1,1,0,1
"215",0,1,0,1
"216",1,0,0,1
"217",0,0,0,1
"218",1,0,0,1
"219",1,0,0,1
"220",1,0,0,1
"221",0,1,0,1
"222",1,0,0,0
"223",1,1,0,0
"224",1,0,0,0
"225",1,0,1,0
"226",0,0,0,1
"227",1,0,0,1
"228",1,0,0,1
"229",1,0,0,1
"230",1,0,0,0
"231",1,1,0,0
"232",0,0,0,1
"233",0,1,0,1
"234",0,1,0,0
"235",1,0,0,1
"236",0,0,0,1
"237",1,0,0,0
"238",1,0,0,1
"239",0,0,0,1
"240",1,0,0,1
"241",1,0,0,1
"242",1,0,0,1
"243",0,0,0,0
"244",0,0,0,1
"245",1,0,0,1
"246",1,0,0,1
"247",0,0,0,1
"248",0,0,0,1
"249",1,0,1,0
"250",0,0,1,0
"251",1,0,0,1
"252",0,0,0,1
"253",0,1,0,1
"254",1,0,1,0
"255",0,1,0,1
"256",1,1,0,0
"257",1,0,0,1
"258",1,0,0,1
"259",1,0,1,1
"260",0,1,0,1
"261",1,0,0,1
"262",0,0,1,0
"263",1,0,0,1
"264",1,0,0,1
"265",1,0,0,1
"266",0,0,0,1
"267",1,0,0,1
"268",0,0,0,1
"269",1,0,0,1
"270",0,0,0,1
"271",1,0,0,1
"272",1,0,0,1
"273",0,0,0,0
"274",0,0,0,1
"275",1,1,0,0
"276",1,0,0,1
"277",1,0,0,1
"278",0,0,0,1
"279",0,1,0,0
"280",0,0,1,1
"281",0,1,1,1
"282",1,0,0,0
"283",0,1,0,0
"284",1,0,0,1
"285",0,0,0,1
"286",1,0,0,1
"287",1,1,0,1
"288",0,0,0,0
"289",1,1,0,0
"290",1,0,1,0
"291",0,0,0,1
"292",1,0,0,1
"293",0,0,0,1
"294",0,0,0,0
"295",1,0,0,1
"296",0,0,0,1
"297",1,0,0,1
"298",0,0,0,0
"299",1,1,0,1
"300",0,0,0,1
"301",0,0,0,1
"302",1,0,0,1
"303",1,0,0,0
"304",0,0,0,1
"305",0,0,0,1
"306",1,0,1,1
"307",1,0,0,1
"308",1,0,0,1
"309",0,0,0,1
"310",1,0,0,1
"311",1,1,0,1
"312",1,0,0,1
"313",0,0,0,1
"314",1,1,0,1
"315",0,0,0,0
"316",1,0,0,1
"317",1,0,0,1
"318",0,0,0,1
"319",1,0,0,1
"320",0,0,1,0
"321",1,0,0,1
"322",1,0,0,1
"323",0,0,0,1
"324",1,0,0,1
"325",1,1,0,1
"326",1,0,0,1
"327",0,1,0,1
"328",0,1,0,0
"329",0,0,1,0
"330",0,0,0,1
"331",1,0,0,1
"332",0,0,0,1
"333",1,0,0,1
"334",1,0,0,1
"335",1,0,0,1
"336",0,0,0,1
"337",0,1,0,0
"338",1,0,1,0
"339",1,0,0,1
"340",1,0,0,1
"341",0,1,1,0
"342",1,0,0,1
"343",0,1,1,0
"344",0,0,0,1
"345",0,0,0,1
"346",1,0,0,1
"347",0,0,0,0
"348",1,1,1,0
"349",1,0,0,1
"350",1,0,0,1
"351",1,0,0,1
"352",0,1,1,1
"353",0,0,0,1
"354",1,1,0,0
"355",1,0,0,0
"356",1,1,0,0
"357",1,0,0,0
"358",0,0,1,1
"359",0,0,1,0
"360",0,0,0,1
"361",1,0,0,1
"362",1,0,0,1
"363",0,0,0,1
"364",1,0,1,1
"365",1,0,0,1
"366",0,0,0,1
"367",1,0,0,1
"368",0,1,0,1
"369",0,1,1,1
"370",0,1,0,1
"371",1,0,0,1
"372",1,0,0,0
"373",1,0,0,1
"374",0,1,1,0
"375",1,0,0,1
"376",1,0,0,1
"377",0,1,0,0
"378",1,0,0,1
"379",0,0,0,1
"380",0,0,0,1
"381",1,0,0,0
"382",0,0,0,1
"383",1,0,0,1
"384",0,0,0,1
"385",1,0,0,1
"386",0,1,0,1
"387",1,0,0,1
"388",1,0,0,1
"389",1,0,0,1
"390",1,1,0,1
"391",1,0,0,1
"392",0,1,1,0
"393",0,1,0,0
"394",1,0,0,1
"395",0,0,1,0
"396",0,1,0,0
"397",1,0,1,0
"398",1,0,0,1
"399",0,1,0,1
"400",1,0,0,1
"401",1,0,0,1
"402",1,0,0,0
"403",1,0,0,1
"404",1,0,0,1
"405",0,0,0,1
"406",1,0,0,1
"407",1,0,0,1
"408",0,0,0,1
"409",1,1,0,1
"410",0,0,0,1
"411",1,0,0,1
"412",1,0,0,1
"413",1,0,0,1
"414",0,0,1,1
"415",1,0,0,1
"416",0,1,0,0
"417",1,0,0,1
"418",0,0,0,1
"419",1,0,0,1
"420",1,0,1,1
"421",0,0,0,1
"422",1,0,0,1
"423",0,0,0,0
"424",0,0,0,1
"425",0,0,0,1
"426",0,1,0,1
"427",1,0,0,0
"428",1,1,0,1
"429",0,0,0,1
"430",1,0,0,1
"431",1,0,0,1
"432",1,0,0,1
"433",1,0,0,0
"434",0,1,1,1
"435",0,0,0,1
"436",0,0,0,1
"437",1,0,0,0
"438",1,0,0,0
"439",0,1,0,1
"440",0,1,1,0
"441",0,0,0,1
"442",1,0,0,1
"443",1,0,0,1
"444",1,1,0,1
"445",0,0,0,1
"446",0,1,1,0
"447",0,0,1,1
"448",1,1,0,1
"449",0,0,0,1
"450",0,1,0,1
"451",1,0,0,1
"452",0,1,0,0
"453",0,0,1,0
"454",0,0,0,1
"455",0,1,1,1
"456",1,0,0,0
"457",1,1,0,1
"458",1,0,0,0
"459",1,0,0,1
"460",0,1,0,0
"461",1,0,0,1
"462",0,0,0,0
"463",1,0,0,1
"464",0,1,0,0
"465",1,0,1,1
"466",0,0,0,1
"467",1,0,1,0
"468",1,0,0,1
"469",1,0,0,1
"470",1,1,0,1
"471",1,0,0,1
"472",0,0,1,0
"473",0,1,1,1
"474",1,0,0,1
"475",0,0,0,1
"476",0,0,0,1
"477",0,1,1,1
"478",0,0,0,1
"479",1,0,0,1
"480",0,0,1,0
"481",1,0,1,0
"482",1,0,1,0
"483",0,0,0,1
"484",0,0,0,1
"485",1,0,0,1
