"","V8517","V7101","V7221"
"1",0,1,0
"2",0,0,0
"3",0,0,0
"4",0,0,0
"5",0,0,1
"6",0,0,0
"7",0,0,0
"8",0,0,1
"9",0,0,1
"10",0,0,1
"11",0,1,1
"12",0,0,0
"13",0,0,0
"14",0,0,1
"15",0,1,1
"16",0,0,0
"17",0,0,1
"18",0,0,1
"19",1,0,1
"20",0,1,0
"21",0,0,1
"22",0,0,1
"23",0,1,1
"24",0,0,1
"25",0,1,0
"26",1,0,0
"27",0,0,1
"28",0,0,0
"29",0,1,1
"30",1,0,0
"31",1,0,0
"32",1,1,0
"33",0,0,0
"34",0,0,1
"35",0,0,0
"36",0,0,1
"37",0,1,1
"38",0,0,0
"39",0,0,0
"40",1,1,0
"41",0,0,1
"42",0,0,1
"43",1,0,1
"44",0,0,1
"45",0,0,0
"46",1,1,1
"47",0,0,1
"48",1,1,0
"49",1,1,0
"50",0,0,1
"51",0,0,1
"52",0,0,0
"53",0,0,0
"54",0,0,1
"55",0,0,0
"56",0,0,1
"57",0,0,1
"58",0,0,0
"59",0,0,1
"60",1,0,1
"61",0,0,1
"62",0,0,1
"63",0,0,1
"64",1,0,1
"65",1,0,1
"66",0,0,0
"67",1,0,1
"68",1,0,1
"69",0,0,1
"70",0,0,1
"71",0,0,1
"72",0,0,0
"73",0,0,1
"74",1,1,0
"75",0,0,0
"76",0,0,1
"77",0,0,0
"78",1,0,0
"79",0,0,1
"80",0,0,1
"81",0,0,1
"82",0,0,1
"83",0,0,0
"84",0,0,1
"85",0,0,0
"86",0,1,1
"87",0,1,1
"88",0,1,0
"89",0,0,1
"90",1,0,0
"91",0,0,1
"92",0,0,1
"93",0,0,1
"94",1,1,0
"95",0,0,1
"96",0,0,0
"97",0,0,1
"98",0,0,0
"99",0,0,0
"100",0,0,0
"101",0,0,0
"102",0,0,0
"103",0,0,0
"104",0,0,1
"105",0,0,1
"106",0,0,1
"107",0,0,0
"108",0,0,1
"109",0,0,1
"110",0,0,0
"111",0,0,1
"112",0,0,0
"113",1,0,0
"114",1,1,1
"115",0,0,1
"116",0,0,0
"117",0,0,0
"118",0,0,1
"119",0,0,0
"120",0,1,0
"121",0,0,1
"122",0,0,0
"123",0,1,0
"124",0,0,0
"125",0,0,1
"126",0,0,1
"127",0,0,1
"128",1,1,0
"129",0,1,0
"130",1,0,0
"131",0,1,0
"132",1,0,1
"133",0,0,1
"134",0,0,1
"135",0,0,0
"136",0,1,1
"137",0,0,0
"138",0,0,1
"139",0,1,0
"140",0,1,1
"141",0,0,1
"142",0,0,0
"143",0,0,1
"144",0,0,1
"145",0,0,1
"146",0,1,1
"147",0,0,0
"148",0,1,0
"149",0,0,0
"150",0,0,0
"151",0,0,1
"152",0,0,1
"153",0,0,1
"154",0,0,0
"155",0,0,1
"156",0,0,1
"157",0,0,0
"158",0,0,0
"159",1,1,0
"160",0,0,1
"161",1,1,0
"162",0,1,0
"163",0,0,1
"164",0,0,1
"165",0,0,0
"166",0,0,0
"167",0,0,0
"168",0,0,0
"169",1,0,1
"170",0,1,0
"171",0,0,0
"172",0,0,0
"173",0,0,1
"174",0,0,0
"175",1,0,0
"176",0,0,1
"177",1,1,0
"178",0,0,1
"179",1,0,0
"180",0,1,1
"181",0,0,0
"182",1,1,1
"183",0,0,1
"184",0,0,0
"185",0,0,1
"186",0,0,0
"187",0,0,0
"188",0,0,1
"189",0,0,0
"190",0,0,1
"191",1,0,0
"192",0,1,1
"193",0,0,0
"194",0,0,0
"195",0,0,0
"196",1,0,1
"197",0,0,1
"198",0,0,0
"199",0,0,1
"200",0,0,1
"201",0,1,1
"202",0,0,1
"203",1,0,0
"204",0,0,1
"205",0,0,1
"206",1,0,0
"207",0,0,1
"208",1,1,0
"209",1,1,0
"210",0,0,0
"211",0,0,0
"212",0,0,1
"213",0,0,0
"214",0,0,1
"215",0,0,1
"216",0,1,0
"217",0,0,1
"218",0,0,1
"219",0,0,1
"220",0,0,0
"221",0,0,0
"222",0,0,0
"223",0,1,1
"224",1,0,1
"225",0,0,1
"226",1,1,0
"227",0,1,1
"228",0,0,1
"229",0,0,0
"230",0,0,0
"231",1,0,0
"232",0,0,0
"233",0,0,1
"234",0,0,1
"235",0,1,0
"236",1,1,0
"237",0,0,1
"238",1,1,0
"239",1,1,0
"240",0,0,0
"241",0,0,0
"242",0,0,0
"243",0,0,1
"244",1,1,0
"245",0,0,1
"246",0,1,1
"247",0,0,1
"248",1,1,0
"249",1,1,0
"250",0,0,0
"251",1,1,0
"252",0,0,1
"253",1,1,0
"254",1,0,1
"255",0,0,1
"256",0,0,0
"257",0,0,1
"258",0,0,1
"259",0,0,0
"260",0,0,1
"261",0,1,0
"262",0,0,1
"263",0,0,1
"264",0,0,1
"265",0,0,0
"266",0,0,0
"267",0,0,0
"268",0,0,0
"269",0,1,0
"270",1,1,1
"271",0,0,0
"272",0,0,1
"273",0,0,1
"274",0,0,1
"275",1,1,0
"276",0,0,0
"277",0,0,0
"278",0,0,1
"279",0,0,1
"280",0,1,0
"281",0,1,0
"282",0,0,0
"283",0,1,1
"284",0,0,0
"285",0,1,1
"286",0,0,1
"287",1,1,0
"288",0,0,0
"289",0,0,0
"290",1,1,0
"291",0,0,1
"292",0,1,1
"293",0,0,1
"294",0,0,0
"295",0,0,1
"296",0,0,1
"297",0,0,1
"298",0,0,1
"299",0,0,0
"300",0,0,0
"301",0,1,0
"302",0,0,0
"303",0,0,1
"304",0,0,1
"305",0,0,1
"306",0,0,0
"307",0,0,1
"308",0,0,0
"309",0,0,1
"310",0,1,1
"311",0,0,1
"312",0,0,1
"313",0,0,0
"314",1,0,1
"315",0,0,0
"316",0,0,1
"317",0,0,0
"318",0,0,0
"319",0,0,1
"320",1,0,1
"321",1,0,0
"322",0,0,1
"323",0,0,0
"324",1,1,0
"325",1,0,1
"326",0,0,1
"327",0,0,1
"328",1,0,0
"329",0,0,1
"330",1,1,0
"331",0,0,1
"332",0,0,1
"333",1,1,0
"334",0,0,1
"335",0,0,0
"336",0,0,1
"337",0,0,0
"338",1,0,0
"339",1,0,0
"340",0,0,1
"341",0,0,0
"342",0,0,0
"343",0,0,0
"344",1,0,1
"345",0,0,0
"346",0,0,1
"347",0,0,0
"348",0,0,0
"349",0,0,1
"350",0,0,0
"351",0,1,0
"352",0,0,0
"353",0,0,1
"354",0,0,1
"355",0,0,0
"356",0,0,1
"357",0,1,0
"358",0,0,0
"359",1,0,0
"360",0,1,0
"361",0,0,1
"362",0,0,0
"363",0,1,1
"364",0,0,0
"365",1,1,0
"366",0,1,0
"367",0,0,0
"368",0,0,1
"369",0,0,1
"370",0,1,0
"371",0,0,0
"372",1,1,1
"373",0,0,1
"374",0,0,1
"375",0,0,0
"376",0,1,0
"377",0,1,0
"378",0,0,0
"379",0,0,1
"380",0,1,0
"381",0,0,0
"382",0,0,1
"383",0,0,1
"384",0,0,0
"385",0,1,0
"386",0,0,1
"387",0,0,0
"388",0,0,1
"389",0,1,0
"390",0,0,1
"391",0,1,0
"392",1,0,0
"393",0,1,0
"394",0,0,0
"395",0,0,1
"396",0,1,1
"397",0,0,1
"398",0,0,1
"399",0,0,1
"400",1,0,1
"401",0,0,0
"402",0,0,1
"403",0,1,0
"404",0,0,1
"405",0,0,0
"406",0,1,1
"407",0,0,1
"408",0,0,1
"409",0,0,1
"410",0,0,1
"411",0,0,1
"412",1,1,0
"413",0,0,1
"414",0,0,1
"415",0,0,0
"416",0,0,1
"417",0,1,1
"418",0,0,0
"419",1,0,1
"420",0,0,0
"421",1,1,1
"422",0,1,1
"423",1,0,0
"424",0,0,1
"425",0,0,0
"426",0,0,1
"427",1,1,0
"428",0,0,1
"429",0,0,1
"430",1,0,0
"431",0,0,1
"432",0,0,0
"433",0,0,0
"434",0,0,1
"435",0,0,1
"436",0,0,0
"437",0,0,1
"438",0,1,1
"439",1,0,0
"440",0,0,1
"441",1,1,0
"442",1,1,1
"443",0,0,1
"444",0,0,0
"445",0,0,1
"446",0,1,1
"447",0,0,1
"448",0,0,1
"449",0,0,1
"450",1,0,0
"451",0,0,1
"452",1,1,0
"453",0,0,1
"454",0,0,1
"455",1,1,0
"456",0,0,1
"457",0,1,0
"458",0,0,1
"459",0,0,1
"460",0,1,0
"461",0,0,1
"462",0,0,0
"463",0,1,0
"464",0,0,0
"465",0,0,1
"466",0,0,1
"467",0,0,1
"468",0,0,0
"469",0,0,0
"470",0,1,0
"471",0,0,0
"472",0,0,0
"473",0,0,1
"474",0,0,0
"475",0,1,1
"476",0,0,0
"477",0,0,0
"478",0,0,0
"479",0,0,1
"480",1,1,0
"481",0,0,1
"482",0,0,0
"483",0,0,0
"484",0,0,0
"485",0,0,1
"486",0,0,1
"487",1,0,0
"488",0,0,1
"489",0,0,1
"490",0,0,1
"491",1,0,0
"492",0,0,1
"493",0,0,1
"494",0,0,1
"495",0,0,1
"496",0,0,0
"497",0,0,1
"498",0,1,0
"499",0,0,1
"500",0,0,0
"501",0,0,1
"502",0,0,1
"503",0,0,0
"504",0,0,0
"505",0,0,0
"506",0,0,1
"507",1,1,0
"508",0,0,1
"509",0,0,1
"510",1,1,1
"511",0,0,0
"512",0,0,1
"513",0,0,1
"514",0,0,1
"515",0,0,1
"516",0,0,1
"517",1,0,1
"518",0,0,0
"519",0,0,1
"520",0,0,0
"521",0,0,0
"522",0,0,1
"523",0,0,1
"524",0,1,0
"525",0,0,0
"526",0,0,1
"527",0,0,1
"528",0,0,1
"529",1,1,0
"530",0,0,1
"531",0,0,1
"532",0,1,0
"533",1,1,1
"534",0,0,0
"535",0,0,1
"536",1,1,1
"537",0,0,0
"538",0,0,1
"539",0,0,1
"540",0,0,1
"541",0,0,1
"542",1,0,0
"543",1,1,0
"544",0,0,0
"545",0,0,0
"546",0,0,1
"547",0,0,1
"548",0,0,0
"549",0,1,1
"550",0,0,1
"551",0,0,1
"552",0,0,0
"553",0,1,0
"554",1,1,0
"555",0,0,1
"556",0,0,0
"557",0,0,1
"558",0,0,1
"559",1,0,0
"560",1,0,1
"561",0,0,1
"562",1,1,0
"563",0,0,0
"564",0,0,0
"565",0,0,1
"566",0,0,1
"567",0,0,0
"568",0,0,1
"569",0,0,0
"570",1,1,0
"571",0,0,1
"572",0,0,1
"573",1,0,0
"574",0,0,1
"575",0,1,0
"576",0,0,1
"577",0,0,0
"578",0,0,1
"579",0,0,1
"580",1,0,0
"581",0,0,0
"582",0,0,0
"583",1,0,0
"584",0,1,1
"585",0,0,1
"586",1,1,0
"587",0,0,0
"588",0,1,1
"589",0,0,1
"590",0,0,0
"591",0,1,1
"592",1,1,0
"593",1,0,1
"594",0,1,1
"595",0,0,1
"596",0,0,1
"597",0,0,1
"598",1,1,0
"599",0,0,1
"600",0,0,0
"601",0,0,0
"602",0,0,1
"603",0,0,1
"604",0,1,0
"605",1,0,0
"606",0,0,1
"607",0,1,1
"608",0,0,1
"609",0,0,1
"610",0,0,1
"611",1,1,0
"612",0,1,0
"613",0,1,0
"614",0,0,0
"615",1,0,0
"616",1,0,1
"617",0,0,1
"618",0,0,0
"619",0,1,0
"620",1,0,0
"621",0,0,1
"622",0,0,0
"623",0,0,1
"624",1,1,0
"625",0,1,0
"626",0,0,1
"627",0,0,1
"628",0,0,1
"629",0,0,1
"630",0,0,1
"631",1,1,1
"632",0,1,0
"633",1,0,0
"634",0,0,1
"635",1,1,0
"636",0,0,1
"637",0,1,0
"638",0,0,0
"639",0,0,1
"640",0,0,1
"641",0,0,1
"642",0,0,1
"643",0,1,1
"644",0,0,1
"645",0,0,0
"646",0,0,0
"647",0,1,1
"648",0,0,0
"649",1,0,0
"650",0,0,1
"651",0,1,0
"652",0,0,0
"653",1,0,0
"654",0,1,1
"655",0,0,0
"656",0,0,1
"657",0,0,1
"658",0,0,1
"659",0,0,1
"660",0,0,1
"661",0,0,0
"662",0,0,0
"663",1,0,0
"664",0,1,0
"665",0,0,0
"666",0,0,1
"667",0,0,1
"668",1,0,1
"669",1,0,0
"670",0,0,1
"671",0,1,0
"672",0,0,1
"673",0,0,0
"674",1,0,0
"675",0,0,0
"676",0,1,1
"677",0,0,0
"678",1,0,0
"679",0,0,1
"680",0,0,1
"681",0,0,1
"682",1,0,1
"683",0,0,0
"684",0,1,0
"685",1,0,0
"686",0,0,1
"687",0,0,1
"688",0,0,0
"689",0,0,1
"690",0,0,1
"691",0,0,1
"692",1,0,0
"693",1,1,0
"694",0,0,0
"695",0,0,0
"696",0,0,1
"697",0,0,1
"698",0,1,0
"699",0,0,1
"700",0,0,1
"701",0,1,0
"702",0,0,0
"703",0,0,0
"704",0,1,0
"705",0,0,1
"706",0,1,0
"707",0,0,1
"708",0,0,0
"709",0,1,1
"710",0,0,0
"711",0,0,1
"712",0,0,1
"713",0,0,0
"714",0,0,1
"715",0,0,0
"716",0,0,1
"717",0,0,1
"718",0,0,1
"719",0,0,0
"720",0,0,0
"721",0,0,1
"722",0,0,0
"723",0,0,1
"724",0,0,1
"725",0,0,0
"726",0,0,1
"727",0,0,1
"728",0,0,1
"729",1,0,0
"730",0,1,0
"731",0,0,1
"732",0,0,0
"733",0,0,0
"734",0,0,1
"735",1,0,0
"736",0,1,0
"737",0,0,0
"738",1,0,0
"739",1,1,1
"740",0,0,1
"741",1,0,1
"742",0,0,0
"743",0,0,1
"744",0,0,1
"745",0,0,0
"746",0,0,0
"747",0,0,0
"748",0,1,0
"749",0,0,1
"750",0,0,1
"751",0,0,1
"752",0,0,0
"753",0,0,1
"754",0,0,0
"755",0,0,1
"756",0,0,0
"757",0,0,0
"758",0,0,0
"759",0,0,1
"760",0,0,1
"761",0,0,1
"762",1,1,0
"763",0,1,0
"764",1,0,0
"765",0,1,0
"766",0,0,1
"767",0,1,0
"768",0,0,1
"769",1,1,0
"770",0,0,1
"771",0,0,0
"772",0,1,1
"773",0,0,1
"774",0,0,1
"775",0,1,0
"776",1,0,0
"777",0,0,1
"778",1,1,0
"779",0,0,0
"780",0,1,1
"781",0,0,1
"782",0,0,1
"783",0,0,1
"784",0,0,1
"785",0,1,0
"786",0,0,0
"787",0,0,0
"788",1,1,1
"789",0,0,0
"790",0,0,0
"791",0,0,1
"792",0,0,1
"793",0,0,1
"794",0,0,1
"795",0,1,1
"796",0,1,0
"797",0,0,1
"798",1,0,1
"799",0,0,1
"800",1,1,0
"801",1,0,0
"802",0,0,1
"803",0,0,1
"804",0,0,1
"805",0,0,1
"806",0,1,0
"807",0,0,1
"808",0,0,1
"809",0,0,1
"810",0,0,1
"811",0,0,1
"812",0,0,0
"813",0,0,1
"814",0,1,0
"815",0,0,1
"816",1,0,1
"817",0,0,0
"818",1,0,1
"819",0,0,1
"820",0,0,1
"821",0,0,0
"822",0,0,0
"823",0,0,1
"824",0,0,0
"825",0,0,0
"826",0,0,1
"827",0,0,0
"828",0,0,1
"829",0,0,1
"830",0,0,1
"831",0,0,1
"832",0,1,1
"833",0,0,1
"834",0,0,1
"835",1,0,0
"836",1,0,1
"837",1,1,0
"838",0,0,1
"839",0,0,1
"840",0,0,1
"841",0,0,1
"842",0,0,1
"843",1,0,1
"844",0,0,1
"845",0,0,1
"846",0,0,1
"847",0,0,1
"848",0,0,0
"849",0,0,1
"850",1,0,1
"851",0,0,0
"852",0,1,1
"853",0,0,0
"854",0,0,1
"855",0,0,0
"856",0,0,1
"857",0,0,1
"858",1,0,1
"859",0,0,1
"860",1,0,0
"861",1,0,1
"862",0,0,1
